scroll,z,segments,samples,lambda_max,lambda_min,mean_at_reference,lambda_over_mean,predicts_runaway,estimate_k0_x,estimate_k0_y,mean_at_refined,predicts_runaway_refined,seeds,seeds_outside,outside_majority,outside_seed_zero
PHerc0125,18770,34245,10000,0.7769,0.2231,0.5671,1.37,1,19891.8,-122488.32,0.7769,0,20,20,1,1
PHerc0125,19562,32619,10000,0.7453,0.2547,0.5926,1.2577,1,4803.05,-4598.27,0.7561,0,20,20,1,1
PHerc0125,20354,23554,10000,0.697,0.303,0.7263,0.9596,0,4591.66,4039.38,0.7416,0,20,1,0,0
PHerc0211,1702,9789,10000,0.6625,0.3375,0.7161,0.925,0,4511.61,5287.85,0.731,0,20,0,0,0
PHerc0211,2431,23001,10000,0.7378,0.2622,0.6104,1.2088,1,2373.29,-7819.42,0.7425,0,20,20,1,1
PHerc0211,3160,25246,10000,0.7462,0.2538,0.6577,1.1346,1,-427.09,-37101.3,0.7466,0,20,20,1,1
PHerc0211,3889,23745,10000,0.7453,0.2547,0.5822,1.28,1,-35916.45,-386486.04,0.7453,1,20,20,1,1
PHerc0211,4617,25370,10000,0.7686,0.2314,0.5874,1.3086,1,4255.6,14143.37,0.7758,0,20,20,1,1
PHerc0211,5346,25565,10000,0.708,0.292,0.596,1.1879,1,3303.83,8155.79,0.7469,0,20,20,1,1
PHerc0211,6075,23693,10000,0.6865,0.3135,0.6011,1.1421,1,3149.58,6590.08,0.7314,0,20,0,0,0
PHerc0211,6804,24088,10000,0.7276,0.2724,0.5849,1.244,1,3042.73,7485.48,0.7661,0,20,2,0,0
PHerc0211,7533,24849,10000,0.7085,0.2915,0.6065,1.1682,1,2736.43,8292.0,0.747,0,20,19,1,1
PHerc0211,8262,25443,10000,0.7089,0.2911,0.6627,1.0697,1,2425.89,9721.39,0.7306,0,20,20,1,1
PHerc0211,8991,24487,10000,0.7496,0.2504,0.6959,1.0772,1,478.4,15834.2,0.756,0,20,20,1,1
PHerc0211,9720,23093,10000,0.734,0.266,0.6122,1.199,1,838.57,14687.49,0.741,0,20,20,1,1
PHerc0211,10448,20763,10000,0.7293,0.2707,0.6336,1.1511,1,-1455.88,24863.32,0.7316,0,20,20,1,1
PHerc0211,11177,26673,10000,0.7576,0.2424,0.6499,1.1658,1,2130.02,13175.54,0.7687,0,20,20,1,1
PHerc0211,11906,26229,10000,0.6966,0.3034,0.5628,1.2377,1,3239.12,16845.29,0.7028,0,20,20,1,1
PHerc0211,12635,32430,10000,0.6506,0.3494,0.5701,1.1413,1,3549.24,2825.75,0.7024,0,20,0,0,0
PHerc0211,13364,35005,10000,0.6952,0.3048,0.6499,1.0697,1,4442.59,9498.5,0.7111,0,20,19,1,1
PHerc0211,14093,31572,10000,0.6315,0.3685,0.684,0.9232,0,4590.63,3348.35,0.6953,0,20,0,0,0
PHerc0211,14822,31266,10000,0.6273,0.3727,0.6202,1.0114,1,3914.47,2636.97,0.6616,0,20,0,0,0
PHerc0211,15551,35245,10000,0.5833,0.4167,0.6475,0.9009,0,3429.73,3405.37,0.6836,0,20,0,0,0
PHerc0211,16279,29674,10000,0.5723,0.4277,0.6687,0.8558,0,4345.89,3740.81,0.7077,0,20,0,0,0
PHerc0211,17008,26867,10000,0.5719,0.4281,0.6884,0.8309,0,3707.05,4048.18,0.6947,0,20,0,0,0
PHerc0211,17737,20744,10000,0.5261,0.4739,0.6632,0.7933,0,3123.82,4936.79,0.6661,0,20,0,0,0
PHerc0211,18466,13870,10000,0.5809,0.4191,0.6562,0.8853,0,3271.43,4901.87,0.661,0,20,0,0,0
PHerc0332,698,453,10000,0.5335,0.4665,0.7649,0.6975,0,1820.94,1945.49,0.8035,0,20,0,0,0
PHerc0332,1033,6710,10000,0.6099,0.3901,0.931,0.6551,0,2130.37,2097.98,0.9347,0,20,0,0,0
PHerc0332,1367,9820,10000,0.6102,0.3898,0.9107,0.67,0,2116.13,2090.59,0.9145,0,20,0,0,0
PHerc0332,1701,10602,10000,0.5818,0.4182,0.9168,0.6346,0,2114.23,2092.17,0.9206,0,20,0,0,0
PHerc0332,2036,10813,10000,0.5774,0.4226,0.9012,0.6408,0,2089.89,2088.06,0.9079,0,20,0,0,0
PHerc0332,2370,11030,10000,0.5839,0.4161,0.9096,0.642,0,2091.12,2106.49,0.918,0,20,0,0,0
PHerc0332,2704,11200,10000,0.5795,0.4205,0.8812,0.6576,0,2074.43,2103.42,0.8831,0,20,0,0,0
PHerc0332,3039,10679,10000,0.574,0.426,0.8877,0.6466,0,2061.05,2107.03,0.8905,0,20,0,0,0
PHerc0332,3373,10458,10000,0.576,0.424,0.8659,0.6651,0,2020.77,2125.96,0.8675,0,20,0,0,0
PHerc0332,3707,10376,10000,0.5865,0.4135,0.894,0.656,0,2022.55,2125.05,0.8959,0,20,0,0,0
PHerc0332,4042,10882,10000,0.5809,0.4191,0.8863,0.6555,0,2016.89,2123.89,0.8983,0,20,0,0,0
PHerc0332,4376,10740,10000,0.5642,0.4358,0.8937,0.6312,0,1935.17,2096.71,0.9147,0,20,0,0,0
PHerc0332,4710,10439,10000,0.5713,0.4287,0.9057,0.6308,0,1904.72,2023.84,0.907,0,20,0,0,0
PHerc0332,5044,10318,10000,0.5858,0.4142,0.8849,0.662,0,1954.6,1976.14,0.8881,0,20,0,0,0
PHerc0332,5379,10711,10000,0.5906,0.4094,0.9083,0.6503,0,1981.79,2002.08,0.9192,0,20,0,0,0
PHerc0332,5713,10902,10000,0.5783,0.4217,0.9049,0.6391,0,2017.72,2029.76,0.9262,0,20,0,0,0
PHerc0332,6047,10575,10000,0.5373,0.4627,0.9473,0.5671,0,2049.74,2072.3,0.9497,0,20,0,0,0
PHerc0332,6382,10507,10000,0.5555,0.4445,0.9424,0.5895,0,2086.04,2117.24,0.9445,0,20,0,0,0
PHerc0332,6716,10800,10000,0.5461,0.4539,0.923,0.5917,0,2103.56,2170.32,0.9253,0,20,0,0,0
PHerc0332,7050,10360,10000,0.5631,0.4369,0.9167,0.6142,0,2163.49,2078.5,0.9336,0,20,0,0,0
PHerc0332,7385,9451,10000,0.5614,0.4386,0.9173,0.6121,0,2190.51,1999.08,0.9199,0,20,0,0,0
PHerc0332,7719,9483,10000,0.5343,0.4657,0.9254,0.5773,0,2209.08,1900.24,0.9293,0,20,0,0,0
PHerc0332,8053,7755,10000,0.5741,0.4259,0.939,0.6114,0,2183.25,1910.34,0.9397,0,20,0,0,0
PHerc0332,8388,8765,10000,0.6223,0.3777,0.5533,1.1246,1,2052348.57,2481873.85,0.6222,1,20,20,1,1
PHerc0826,1941,18648,10000,0.7413,0.2587,0.6435,1.152,1,4899.25,-2837.07,0.7584,0,20,20,1,1
PHerc0826,2564,25235,10000,0.7451,0.2549,0.7032,1.0596,1,5665.44,-4092.3,0.7532,0,20,20,1,1
PHerc0826,3186,22969,10000,0.7336,0.2664,0.6442,1.1387,1,2402.79,10274.95,0.7432,0,20,20,1,1
PHerc0826,3809,23887,10000,0.7297,0.2703,0.6043,1.2075,1,2329.68,7453.34,0.7685,0,20,0,0,0
PHerc0826,4432,21614,10000,0.6941,0.3059,0.607,1.1434,1,2214.64,9100.33,0.7102,0,20,20,1,1
PHerc0826,5054,19509,10000,0.624,0.376,0.6192,1.0079,1,4630.24,3109.04,0.6518,0,20,2,0,0
PHerc0826,5677,18594,10000,0.618,0.382,0.5971,1.035,1,4806.53,-186.87,0.6412,0,20,18,1,1
PHerc0826,6300,22908,10000,0.7603,0.2397,0.5096,1.492,1,3758.72,-2585.07,0.7811,0,20,20,1,1
PHerc0826,6922,21789,10000,0.7803,0.2197,0.5675,1.375,1,3454.17,-3439.33,0.7964,0,20,20,1,1
PHerc0826,7545,20932,10000,0.6672,0.3328,0.6617,1.0084,1,3671.06,-5138.03,0.6734,0,20,20,1,1
PHerc0826,8168,20750,10000,0.6561,0.3439,0.5652,1.1608,1,3223.19,323.2,0.696,0,20,1,0,0
PHerc0826,8790,24007,10000,0.6673,0.3327,0.4879,1.3677,1,3380.73,795.19,0.7161,0,20,0,0,0
PHerc0826,9413,22231,10000,0.6164,0.3836,0.5771,1.0681,1,4339.44,1881.77,0.7459,0,20,0,0,0
PHerc0826,10035,20416,10000,0.7266,0.2734,0.5131,1.4162,1,4283.5,1302.93,0.7941,0,20,0,0,0
PHerc0826,10658,21235,10000,0.7825,0.2175,0.3803,2.0578,1,4345.32,877.04,0.8726,0,20,0,0,0
PHerc0826,11281,20908,10000,0.7659,0.2341,0.3942,1.9432,1,4374.73,1366.53,0.8585,0,20,0,0,0
PHerc0826,11903,22389,10000,0.8353,0.1647,0.446,1.8728,1,4466.81,-423.98,0.8952,0,20,20,1,1
PHerc0826,12526,21915,10000,0.859,0.141,0.4115,2.0876,1,4702.14,-1386.63,0.91,0,20,20,1,1
PHerc0826,13149,22067,10000,0.864,0.136,0.4082,2.1167,1,4712.06,-1540.12,0.9172,0,20,20,1,1
PHerc0826,13771,22491,10000,0.8839,0.1161,0.4305,2.0534,1,4818.34,-2997.19,0.9212,0,20,20,1,1
PHerc0826,14394,20300,10000,0.8776,0.1224,0.4552,1.9282,1,4609.68,-3750.44,0.9094,0,20,20,1,1
PHerc0826,15017,19966,10000,0.8714,0.1286,0.5032,1.7315,1,5080.91,-9456.09,0.8824,0,20,20,1,1
PHerc0826,15639,18586,10000,0.8758,0.1242,0.4316,2.0292,1,6898.03,-27854.76,0.8777,0,20,20,1,1
PHerc0826,16262,12696,10000,0.8462,0.1538,0.5049,1.676,1,2810.87,12641.05,0.8626,0,20,20,1,1
PHercParis4,2252,26302,10000,0.7218,0.2782,0.6017,1.1995,1,137775.44,-125890.6,0.722,0,20,20,1,1
PHercParis4,5326,123791,10000,0.6959,0.3041,0.6083,1.144,1,21246.82,13473.83,0.7424,0,20,0,0,0
PHercParis4,8401,157814,10000,0.6662,0.3338,0.6235,1.0685,1,21502.23,14039.51,0.7457,0,20,0,0,0
PHercParis4,11475,166898,10000,0.6762,0.3238,0.6584,1.027,1,24150.62,12544.11,0.6939,0,20,0,0,0
PHercParis4,14549,163673,10000,0.6592,0.3408,0.6942,0.9496,0,14095.63,18252.25,0.7003,0,20,0,0,0
PHercParis4,17623,140550,10000,0.6064,0.3936,0.6867,0.883,0,13874.01,17642.29,0.7035,0,20,0,0,0
PHercParis4,20698,147568,10000,0.6184,0.3816,0.6438,0.9606,0,16761.36,16042.69,0.6783,0,20,0,0,0
PHercParis4,23772,169505,10000,0.6425,0.3575,0.6078,1.057,1,-22181.01,59711.53,0.6461,0,20,20,1,1
PHercParis4,26846,210461,10000,0.6909,0.3091,0.6637,1.041,1,-34695.74,74644.18,0.6934,0,20,20,1,1
PHercParis4,29920,207510,10000,0.6817,0.3183,0.7329,0.9302,0,-188282.81,299119.12,0.6818,0,20,2,0,1
PHercParis4,32995,224438,10000,0.6613,0.3387,0.7185,0.9204,0,18426.33,13363.39,0.7234,0,20,0,0,0
PHercParis4,36069,218726,10000,0.665,0.335,0.6959,0.9556,0,18633.85,13442.08,0.7032,0,20,1,0,0
PHercParis4,39143,191079,10000,0.6612,0.3388,0.5833,1.1334,1,-2501360.43,3767190.6,0.6612,1,20,19,1,1
PHercParis4,42217,199738,10000,0.6499,0.3501,0.6124,1.0612,1,34467.09,-12898.32,0.6621,0,20,20,1,1
PHercParis4,45292,213102,10000,0.6245,0.3755,0.7024,0.8891,0,18782.67,14374.6,0.7059,0,20,0,0,0
PHercParis4,48366,229316,10000,0.6171,0.3829,0.7975,0.7738,0,17653.76,15885.67,0.8065,0,20,0,0,0
PHercParis4,51440,226452,10000,0.5781,0.4219,0.7795,0.7416,0,16975.61,16802.14,0.7838,0,20,0,0,0
PHercParis4,54514,227899,10000,0.5797,0.4203,0.7606,0.7622,0,16710.63,17697.48,0.777,0,20,0,0,0
PHercParis4,57589,215164,10000,0.5641,0.4359,0.7879,0.716,0,17213.36,18135.18,0.791,0,20,0,0,0
PHercParis4,60663,192838,10000,0.5576,0.4424,0.827,0.6742,0,17881.34,18326.59,0.8303,0,20,0,0,0
PHercParis4,63737,195190,10000,0.5336,0.4664,0.8479,0.6294,0,17575.05,19286.39,0.8486,0,20,0,0,0
PHercParis4,66811,177842,10000,0.5527,0.4473,0.805,0.6865,0,18135.85,19721.24,0.8049,0,20,0,0,0
PHercParis4,69886,130910,10000,0.5664,0.4336,0.8311,0.6815,0,17243.93,21287.82,0.8318,0,20,0,0,0
PHercParis4,72960,52864,10000,0.7362,0.2638,0.8233,0.8941,0,16612.74,22429.38,0.8237,0,20,0,0,0
PHerc0191,3496,36546,10000,0.6487,0.3513,0.8044,0.8065,0,4219.48,5359.28,0.8058,0,20,0,0,0
PHerc0191,4121,38758,10000,0.6219,0.3781,0.7217,0.8617,0,4278.67,4967.73,0.7225,0,20,0,0,0
PHerc0191,4747,36023,10000,0.634,0.366,0.6836,0.9274,0,4440.7,4778.38,0.6887,0,20,0,0,0
PHerc0191,5372,39141,10000,0.6346,0.3654,0.6597,0.9619,0,4088.5,6121.1,0.673,0,20,0,0,0
PHerc0191,5998,40245,10000,0.6738,0.3262,0.6298,1.0698,1,4588.86,5205.28,0.7021,0,20,0,0,0
PHerc0191,6623,40238,10000,0.6322,0.3678,0.6691,0.9448,0,4603.43,4665.71,0.7266,0,20,0,0,0
PHerc0191,7248,40597,10000,0.6121,0.3879,0.6317,0.9689,0,3636.69,4874.5,0.7153,0,20,0,0,0
PHerc0191,7874,39469,10000,0.5905,0.4095,0.6659,0.8869,0,4301.17,4329.57,0.6891,0,20,0,0,0
PHerc0191,8499,31934,10000,0.6081,0.3919,0.6729,0.9038,0,4600.82,4221.07,0.6824,0,20,0,0,0
PHerc0191,9125,33736,10000,0.6258,0.3742,0.5858,1.0684,1,4348.06,3729.51,0.6689,0,20,0,0,0
PHerc0191,9750,36261,10000,0.6238,0.3762,0.6606,0.9443,0,3701.35,4040.71,0.6658,0,20,0,0,0
PHerc0191,10375,36273,10000,0.626,0.374,0.6357,0.9848,0,3862.23,3103.92,0.651,0,20,0,0,0
PHerc0191,11001,37556,10000,0.5337,0.4663,0.6213,0.8589,0,4102.77,4281.61,0.6621,0,20,0,0,0
PHerc0191,11626,37142,10000,0.5348,0.4652,0.6865,0.7791,0,4102.42,4424.96,0.6898,0,20,0,0,0
PHerc0191,12251,35831,10000,0.5836,0.4164,0.705,0.8277,0,4443.79,4232.36,0.7297,0,20,0,0,0
PHerc0191,12877,31649,10000,0.5767,0.4233,0.6423,0.8978,0,4137.63,4523.89,0.7072,0,20,0,0,0
PHerc0191,13502,35638,10000,0.572,0.428,0.6443,0.8876,0,4174.44,4828.95,0.6762,0,20,0,0,0
PHerc0191,14128,32448,10000,0.5922,0.4078,0.584,1.014,1,4302.32,5189.46,0.6572,0,20,0,0,0
PHerc0191,14753,38924,10000,0.559,0.441,0.6754,0.8277,0,4755.52,4242.45,0.6941,0,20,0,0,0
PHerc0191,15378,40715,10000,0.563,0.437,0.6463,0.8711,0,4813.65,4010.6,0.6828,0,20,0,0,0
PHerc0191,16004,41481,10000,0.5316,0.4684,0.6416,0.8286,0,4593.17,4144.29,0.6927,0,20,0,0,0
PHerc0191,16629,37574,10000,0.5262,0.4738,0.5371,0.9796,0,4074.3,4898.0,0.718,0,20,0,0,0
PHerc0191,17255,35126,10000,0.597,0.403,0.6078,0.9822,0,3923.2,4455.09,0.6817,0,20,0,0,0
PHerc0191,17880,28846,10000,0.5901,0.4099,0.7227,0.8165,0,4370.39,4001.87,0.7299,0,20,0,0,0
PHerc0257,2888,24175,10000,0.5966,0.4034,0.6998,0.8525,0,4616.34,5453.86,0.7232,0,20,0,0,0
PHerc0257,3509,25954,10000,0.5565,0.4435,0.6814,0.8166,0,4482.26,5512.22,0.6857,0,20,0,0,0
PHerc0257,4130,28256,10000,0.5522,0.4478,0.7113,0.7763,0,4677.75,5304.03,0.7251,0,20,0,0,0
PHerc0257,4752,29236,10000,0.5202,0.4798,0.6766,0.7688,0,4263.2,5413.37,0.6446,0,20,0,0,0
PHerc0257,5373,28558,10000,0.511,0.489,0.6585,0.7761,0,4365.8,4980.48,0.6623,0,20,0,0,0
PHerc0257,5994,24627,10000,0.5417,0.4583,0.6251,0.8666,0,4354.45,5245.07,0.6819,0,20,0,0,0
PHerc0257,6615,23326,10000,0.554,0.446,0.5988,0.925,0,3796.01,5034.98,0.6434,0,20,0,0,0
PHerc0257,7237,17903,10000,0.5958,0.4042,0.6591,0.9039,0,4043.35,3979.87,0.6601,0,20,0,0,0
PHerc0257,7858,19578,10000,0.5563,0.4437,0.6439,0.8639,0,4220.79,3801.11,0.651,0,20,0,0,0
PHerc0257,8479,20385,10000,0.6014,0.3986,0.6616,0.909,0,-300.29,5069.12,0.6599,0,20,10,0,1
PHerc0257,9100,23330,10000,0.6212,0.3788,0.6456,0.9623,0,1069.12,4436.49,0.7048,0,20,0,0,0
PHerc0257,9721,23616,10000,0.6227,0.3773,0.6688,0.931,0,1043.37,4911.28,0.7216,0,20,0,0,0
PHerc0257,10343,25307,10000,0.6673,0.3327,0.6175,1.0806,1,1204.56,5248.41,0.7412,0,20,0,0,0
PHerc0257,10964,25138,10000,0.6892,0.3108,0.6614,1.0421,1,277.09,5444.04,0.7383,0,20,0,0,0
PHerc0257,11585,23680,10000,0.6527,0.3473,0.655,0.9964,0,742.89,5850.08,0.7071,0,20,0,0,0
PHerc0257,12206,27135,10000,0.6659,0.3341,0.5945,1.1201,1,1318.49,5516.04,0.7528,0,20,0,0,0
PHerc0257,12827,27226,10000,0.679,0.321,0.5954,1.1405,1,578.3,6100.2,0.7363,0,20,0,0,0
PHerc0257,13449,28561,10000,0.6763,0.3237,0.5937,1.1391,1,729.44,5963.91,0.7294,0,20,0,0,0
PHerc0257,14070,27531,10000,0.692,0.308,0.5869,1.1792,1,-2406.03,8511.21,0.7051,0,20,20,1,1
PHerc0257,14691,27554,10000,0.6686,0.3314,0.6239,1.0716,1,-1750.85,8148.82,0.6795,0,20,20,1,1
PHerc0257,15312,30667,10000,0.6162,0.3838,0.6622,0.9305,0,3630.2,5771.38,0.6582,0,20,0,0,0
PHerc0257,15934,26712,10000,0.6499,0.3501,0.6378,1.019,1,4084.85,4136.87,0.6584,0,20,0,0,0
PHerc0257,16555,23137,10000,0.6236,0.3764,0.6265,0.9954,0,4431.26,4247.61,0.6503,0,20,2,0,0
PHerc0257,17176,16206,10000,0.6975,0.3025,0.6385,1.0924,1,4431.24,4691.41,0.7075,0,20,0,0,0
PHerc0268,2680,40561,10000,0.6428,0.3572,0.596,1.0786,1,6392.74,12542.39,0.6567,0,20,13,1,1
PHerc0268,3111,54076,10000,0.6288,0.3712,0.617,1.0192,1,7499.2,12538.03,0.6312,0,20,20,1,1
PHerc0268,3541,61118,10000,0.6294,0.3706,0.6004,1.0483,1,5479.08,5830.78,0.6305,0,20,0,0,0
PHerc0268,3972,60504,10000,0.6799,0.3201,0.583,1.1662,1,5279.8,6453.77,0.6356,1,20,0,0,0
PHerc0268,4402,71711,10000,0.6686,0.3314,0.5899,1.1334,1,5848.5,6183.92,0.6413,1,20,0,0,0
PHerc0268,4833,69795,10000,0.6748,0.3252,0.639,1.0561,1,5921.51,5951.88,0.6774,0,20,0,0,0
PHerc0268,5264,75479,10000,0.6522,0.3478,0.6439,1.0129,1,5883.16,5940.98,0.6575,0,20,0,0,0
PHerc0268,5694,63611,10000,0.6327,0.3673,0.6403,0.9881,0,5852.25,5200.21,0.6923,0,20,0,0,0
PHerc0268,6125,64244,10000,0.6322,0.3678,0.6497,0.9732,0,5496.21,4903.61,0.6657,0,20,0,0,0
PHerc0268,6555,53338,10000,0.6144,0.3856,0.6262,0.9812,0,5566.87,5066.57,0.6663,0,20,0,0,0
PHerc0268,6986,64197,10000,0.6291,0.3709,0.6484,0.9702,0,6083.32,4613.42,0.6671,0,20,0,0,0
PHerc0268,7417,57876,10000,0.6218,0.3782,0.6191,1.0043,1,5764.39,5932.52,0.6909,0,20,0,0,0
PHerc0268,7847,63559,10000,0.638,0.362,0.6194,1.03,1,5700.49,6387.88,0.6515,0,20,0,0,0
PHerc0268,8278,58207,10000,0.6465,0.3535,0.6581,0.9823,0,5900.79,5053.1,0.6671,0,20,0,0,0
PHerc0268,8709,65114,10000,0.6307,0.3693,0.6164,1.0232,1,6666.96,6167.77,0.6519,0,20,0,0,0
PHerc0268,9139,58710,10000,0.5847,0.4153,0.6133,0.9535,0,6126.65,5972.5,0.663,0,20,0,0,0
PHerc0268,9570,66034,10000,0.5939,0.4061,0.5965,0.9956,0,5345.12,6268.1,0.6764,0,20,0,0,0
PHerc0268,10000,67771,10000,0.6181,0.3819,0.6467,0.9558,0,6059.77,6537.85,0.709,0,20,0,0,0
PHerc0268,10431,71229,10000,0.6192,0.3808,0.647,0.9571,0,6146.66,6617.42,0.6705,0,20,0,0,0
PHerc0268,10862,65682,10000,0.6206,0.3794,0.6847,0.9064,0,6356.88,7568.18,0.7179,0,20,0,0,0
PHerc0268,11292,78483,10000,0.5881,0.4119,0.6878,0.8551,0,6743.13,7584.56,0.698,0,20,0,0,0
PHerc0268,11723,63638,10000,0.6345,0.3655,0.7082,0.8959,0,6331.67,7143.93,0.7217,0,20,0,0,0
PHerc0268,12153,56896,10000,0.5943,0.4057,0.7348,0.8088,0,6401.43,6713.9,0.7404,0,20,0,0,0
PHerc0268,12584,40688,10000,0.6216,0.3784,0.741,0.8389,0,6328.68,5990.38,0.7782,0,20,0,0,0
PHerc0358,1768,26174,10000,0.5106,0.4894,0.7668,0.6659,0,3719.41,3600.27,0.8009,0,20,0,0,0
PHerc0358,2253,29733,10000,0.5483,0.4517,0.7027,0.7802,0,3569.4,3970.55,0.7078,0,20,0,0,0
PHerc0358,2738,33759,10000,0.5757,0.4243,0.6994,0.8231,0,3584.02,4254.77,0.7158,0,20,0,0,0
PHerc0358,3223,35675,10000,0.6368,0.3632,0.6458,0.9861,0,5993.87,2399.58,0.6729,0,20,0,0,0
PHerc0358,3707,37329,10000,0.7292,0.2708,0.6722,1.0849,1,14976.68,-5267.21,0.7332,0,20,20,1,1
PHerc0358,4192,38074,10000,0.7271,0.2729,0.687,1.0584,1,14816.67,-5465.29,0.7323,0,20,20,1,1
PHerc0358,4677,37445,10000,0.7696,0.2304,0.6787,1.1338,1,13502.56,-4269.2,0.7771,0,20,20,1,1
PHerc0358,5162,38198,10000,0.747,0.253,0.6633,1.1262,1,12236.26,-2141.9,0.7559,0,20,20,1,1
PHerc0358,5647,33485,10000,0.7307,0.2693,0.5489,1.3313,1,-2196227.02,2061830.25,0.7307,1,20,20,1,1
PHerc0358,6132,31253,10000,0.7294,0.2706,0.573,1.273,1,-7282.86,14746.48,0.734,0,20,20,1,1
PHerc0358,6617,29494,10000,0.6883,0.3117,0.5483,1.2553,1,-5653.07,15129.36,0.6929,0,20,20,1,1
PHerc0358,7102,34222,10000,0.697,0.303,0.5598,1.2452,1,23214.73,-15820.26,0.698,0,20,20,1,1
PHerc0358,7586,31543,10000,0.6664,0.3336,0.5726,1.1638,1,11293.03,-2369.03,0.6736,0,20,20,1,1
PHerc0358,8071,29100,10000,0.6993,0.3007,0.5647,1.2384,1,18371.42,-7228.07,0.7017,0,20,20,1,1
PHerc0358,8556,31664,10000,0.6392,0.3608,0.6048,1.0568,1,3848.91,3711.71,0.6471,0,20,0,0,0
PHerc0358,9041,36326,10000,0.6175,0.3825,0.6528,0.946,0,3896.27,3868.98,0.6716,0,20,0,0,0
PHerc0358,9526,36582,10000,0.5828,0.4172,0.6484,0.8988,0,3242.58,3926.21,0.6868,0,20,0,0,0
PHerc0358,10011,39655,10000,0.5762,0.4238,0.6607,0.8721,0,2855.67,4102.01,0.6793,0,20,0,0,0
PHerc0358,10496,35873,10000,0.548,0.452,0.6602,0.83,0,3008.31,4117.47,0.682,0,20,0,0,0
PHerc0358,10981,32279,10000,0.546,0.454,0.682,0.8006,0,2311.34,4435.53,0.6901,0,20,0,0,0
PHerc0358,11465,30418,10000,0.5772,0.4228,0.6716,0.8594,0,2065.25,4384.93,0.6764,0,20,0,0,0
PHerc0358,11950,30290,10000,0.5743,0.4257,0.6296,0.9122,0,2413.87,4149.9,0.68,0,20,0,0,0
PHerc0358,12435,29132,10000,0.5645,0.4355,0.6668,0.8466,0,3013.7,5225.81,0.646,0,20,0,0,0
PHerc0358,12920,23285,10000,0.6587,0.3413,0.5986,1.1004,1,334.48,6501.25,0.6982,0,20,0,0,0
PHerc0800,3672,53446,10000,0.599,0.401,0.6508,0.9203,0,4837.57,4429.49,0.7232,0,20,0,0,0
PHerc0800,4441,59880,10000,0.6101,0.3899,0.6485,0.9407,0,6054.87,3856.27,0.6979,0,20,0,0,0
PHerc0800,5209,60420,10000,0.6149,0.3851,0.7285,0.8441,0,6291.74,3696.06,0.7364,0,20,0,0,0
PHerc0800,5978,51687,10000,0.5269,0.4731,0.6937,0.7595,0,5805.25,3686.0,0.7214,0,20,0,0,0
