scroll,z,k,seed,variant,x,y,inside,capped,guard,seconds
PHerc0125,2140,18,20281055,as-is,5135.98144531,2962.1862793,1,0,0,1.22
PHerc0125,2140,18,20281055,no-division,5157.98144531,3037.1862793,1,0,0,1.22
PHerc0125,2140,19,20282055,as-is,5083.93310547,2950.06298828,1,0,0,1.22
PHerc0125,2140,19,20282055,no-division,5164.93310547,3021.06298828,1,0,0,1.47
PHerc0125,2932,0,20263847,as-is,5359.94189453,14560.2099609,0,0,0,1.22
PHerc0125,2932,0,20263847,no-division,4883.94189453,3212.20996094,1,0,0,1.22
PHerc0125,2932,1,20264847,as-is,5517.84179688,13255.6113281,0,0,0,1.22
PHerc0125,2932,1,20264847,no-division,4849.84179688,3208.61132812,1,0,0,1.17
PHerc0125,2932,2,20265847,as-is,5825.48486328,15191.4765625,0,0,0,1.22
PHerc0125,2932,2,20265847,no-division,4865.48486328,3196.47558594,1,0,0,1.22
PHerc0125,2932,3,20266847,as-is,5729.20800781,12694.1474609,0,0,0,1.22
PHerc0125,2932,3,20266847,no-division,4874.20800781,3176.14746094,1,0,0,1.17
PHerc0125,2932,4,20267847,as-is,5356.92431641,12562.8242188,0,0,0,1.22
PHerc0125,2932,4,20267847,no-division,4892.92431641,3206.82421875,1,0,0,1.22
PHerc0125,2932,5,20268847,as-is,5427.51074219,13508.1074219,0,0,0,1.22
PHerc0125,2932,5,20268847,no-division,4887.51074219,3163.10742188,1,0,0,1.22
PHerc0125,2932,6,20269847,as-is,5536.96435547,12938.3623047,0,0,0,1.22
PHerc0125,2932,6,20269847,no-division,4964.96435547,3222.36230469,1,0,0,1.22
PHerc0125,2932,7,20270847,as-is,5558.13671875,15959.0488281,0,0,0,1.22
PHerc0125,2932,7,20270847,no-division,4862.13671875,3198.04882812,1,0,0,1.22
PHerc0125,2932,8,20271847,as-is,5490.53808594,13981.7070312,0,0,0,1.22
PHerc0125,2932,8,20271847,no-division,4864.53808594,3179.70703125,1,0,0,1.22
PHerc0125,2932,9,20272847,as-is,5638.85009766,14458.1171875,0,0,0,1.22
PHerc0125,2932,9,20272847,no-division,4896.85009766,3205.1171875,1,0,0,1.22
PHerc0125,2932,10,20273847,as-is,5897.63183594,14237.7050781,0,0,0,1.22
PHerc0125,2932,10,20273847,no-division,4881.63183594,3178.70507812,1,0,0,1.22
PHerc0125,2932,11,20274847,as-is,5433.71484375,17342.6289062,0,0,0,1.22
PHerc0125,2932,11,20274847,no-division,4944.71484375,3106.62792969,1,0,0,1.22
PHerc0125,2932,12,20275847,as-is,5605.93603516,13067.1445312,0,0,0,1.22
PHerc0125,2932,12,20275847,no-division,4946.93603516,3080.14453125,1,0,0,1.22
PHerc0125,2932,13,20276847,as-is,5478.60253906,15643.4335938,0,0,0,1.22
PHerc0125,2932,13,20276847,no-division,4879.60253906,3136.43359375,1,0,0,1.22
PHerc0125,2932,14,20277847,as-is,5671.22998047,16034.5703125,0,0,0,1.22
PHerc0125,2932,14,20277847,no-division,4839.22998047,3231.56933594,1,0,0,1.22
PHerc0125,2932,15,20278847,as-is,5588.98193359,16677.8710938,0,0,0,1.27
PHerc0125,2932,15,20278847,no-division,4898.98193359,3131.87207031,1,0,0,1.22
PHerc0125,2932,16,20279847,as-is,5862.16796875,19122.2265625,0,0,0,1.22
PHerc0125,2932,16,20279847,no-division,4882.16796875,3224.22558594,1,0,0,1.22
PHerc0125,2932,17,20280847,as-is,5850.10888672,18001.0273438,0,0,0,1.22
PHerc0125,2932,17,20280847,no-division,4867.10888672,3215.02636719,1,0,0,1.22
PHerc0125,2932,18,20281847,as-is,5533.15136719,13543.8964844,0,0,0,1.22
PHerc0125,2932,18,20281847,no-division,4867.15136719,3220.89599609,1,0,0,1.22
PHerc0125,2932,19,20282847,as-is,5673.13769531,14830.8007812,0,0,0,1.22
PHerc0125,2932,19,20282847,no-division,4894.13769531,3208.80029297,1,0,0,1.22
PHerc0125,3724,0,20264639,as-is,4904.27050781,9990.17089844,0,0,0,1.22
PHerc0125,3724,0,20264639,no-division,4691.27050781,3471.17089844,1,0,0,1.22
PHerc0125,3724,1,20265639,as-is,4876.078125,9805.04589844,0,0,0,1.22
PHerc0125,3724,1,20265639,no-division,4824.078125,3403.04589844,1,0,0,1.22
PHerc0125,3724,2,20266639,as-is,4789.02392578,10242.484375,0,0,0,1.22
PHerc0125,3724,2,20266639,no-division,4473.02392578,3414.48388672,1,0,0,1.22
PHerc0125,3724,3,20267639,as-is,4870.8828125,9673.5859375,0,0,0,1.22
PHerc0125,3724,3,20267639,no-division,4682.8828125,3422.5859375,1,0,0,1.22
PHerc0125,3724,4,20268639,as-is,4940.68603516,9663.61914062,0,0,0,1.22
PHerc0125,3724,4,20268639,no-division,4724.68603516,3743.61914062,1,0,0,1.22
PHerc0125,3724,5,20269639,as-is,4940.89355469,9799.72363281,0,0,0,1.22
PHerc0125,3724,5,20269639,no-division,4668.89355469,3416.72363281,1,0,0,1.22
PHerc0125,3724,6,20270639,as-is,4956.83447266,9582.75390625,0,0,0,1.22
PHerc0125,3724,6,20270639,no-division,4764.83447266,3457.75390625,1,0,0,1.22
PHerc0125,3724,7,20271639,as-is,4854.18066406,10013.5205078,0,0,0,1.22
PHerc0125,3724,7,20271639,no-division,4911.18066406,3396.52050781,1,0,0,1.22
PHerc0125,3724,8,20272639,as-is,4766.94238281,10539.7636719,0,0,0,1.22
PHerc0125,3724,8,20272639,no-division,4724.94238281,3436.76318359,1,0,0,1.22
PHerc0125,3724,9,20273639,as-is,4850.81054688,9545.06054688,0,0,0,1.22
PHerc0125,3724,9,20273639,no-division,4832.81054688,3379.06054688,1,0,0,1.22
PHerc0125,3724,10,20274639,as-is,4786.18994141,9497.4453125,0,0,0,1.22
PHerc0125,3724,10,20274639,no-division,4779.18994141,3387.44482422,1,0,0,1.22
PHerc0125,3724,11,20275639,as-is,4882.49560547,9775.42285156,0,0,0,1.22
PHerc0125,3724,11,20275639,no-division,4546.49560547,3261.42285156,1,0,0,1.22
PHerc0125,3724,12,20276639,as-is,4830.00927734,10474.2695312,0,0,0,1.22
PHerc0125,3724,12,20276639,no-division,4818.00927734,3394.26953125,1,0,0,1.22
PHerc0125,3724,13,20277639,as-is,4867.61962891,10495.9882812,0,0,0,1.22
PHerc0125,3724,13,20277639,no-division,4954.61962891,3759.98779297,1,0,0,1.22
PHerc0125,3724,14,20278639,as-is,4895.27050781,9712.88378906,0,0,0,1.22
PHerc0125,3724,14,20278639,no-division,4772.27050781,3388.88378906,1,0,0,1.22
PHerc0125,3724,15,20279639,as-is,4874.64990234,9852.38574219,0,0,0,1.22
PHerc0125,3724,15,20279639,no-division,4740.64990234,3429.38574219,1,0,0,1.22
PHerc0125,3724,16,20280639,as-is,4764.55078125,9712.83203125,0,0,0,1.22
PHerc0125,3724,16,20280639,no-division,4782.55078125,3384.83251953,1,0,0,1.22
PHerc0125,3724,17,20281639,as-is,4908.33935547,9710.64550781,0,0,0,1.22
PHerc0125,3724,17,20281639,no-division,4819.33935547,3389.64550781,1,0,0,1.22
PHerc0125,3724,18,20282639,as-is,4860.98144531,9780.74609375,0,0,0,1.22
PHerc0125,3724,18,20282639,no-division,4934.98144531,3391.74609375,1,0,0,1.22
PHerc0125,3724,19,20283639,as-is,4816.46679688,9673.60742188,0,0,0,1.22
PHerc0125,3724,19,20283639,no-division,4669.46679688,3431.60742188,1,0,0,1.22
PHerc0125,4516,0,20265431,as-is,2563.97412109,14516.5615234,0,0,0,1.22
PHerc0125,4516,0,20265431,no-division,4496.97412109,3421.56152344,1,0,0,1.22
PHerc0125,4516,1,20266431,as-is,2646.92163086,15017.8642578,0,0,0,1.22
PHerc0125,4516,1,20266431,no-division,4526.921875,3476.86425781,1,0,0,1.22
PHerc0125,4516,2,20267431,as-is,2587.25244141,14823.3466797,0,0,0,1.22
PHerc0125,4516,2,20267431,no-division,4480.25244141,3458.34667969,1,0,0,1.22
PHerc0125,4516,3,20268431,as-is,2542.57763672,14380.2421875,0,0,0,1.22
PHerc0125,4516,3,20268431,no-division,4475.57763672,3451.24267578,1,0,0,1.22
PHerc0125,4516,4,20269431,as-is,2577.57592773,14309.8779297,0,0,0,1.22
PHerc0125,4516,4,20269431,no-division,4417.57617188,3519.87792969,1,0,0,1.22
PHerc0125,4516,5,20270431,as-is,2630.90478516,14321.0039062,0,0,0,1.22
PHerc0125,4516,5,20270431,no-division,4469.90478516,3405.00390625,1,0,0,1.22
PHerc0125,4516,6,20271431,as-is,2153.43725586,17178.8925781,0,0,0,1.22
PHerc0125,4516,6,20271431,no-division,4755.4375,4016.89257812,1,0,0,1.22
PHerc0125,4516,7,20272431,as-is,2647.39160156,14134.5205078,0,0,0,1.22
PHerc0125,4516,7,20272431,no-division,4715.39160156,3996.52050781,1,0,0,1.22
PHerc0125,4516,8,20273431,as-is,2666.74682617,13551.1923828,0,0,0,1.22
PHerc0125,4516,8,20273431,no-division,4435.74707031,3594.19238281,1,0,0,1.22
PHerc0125,4516,9,20274431,as-is,2551.38647461,14503.7207031,0,0,0,1.22
PHerc0125,4516,9,20274431,no-division,4451.38671875,3399.72070312,1,0,0,1.22
PHerc0125,4516,10,20275431,as-is,2668.98510742,14138.9433594,0,0,0,1.22
PHerc0125,4516,10,20275431,no-division,4558.98535156,3599.94384766,1,0,0,1.22
PHerc0125,4516,11,20276431,as-is,2361.66015625,15296.3359375,0,0,0,1.22
PHerc0125,4516,11,20276431,no-division,4504.66015625,3512.3359375,1,0,0,1.22
PHerc0125,4516,12,20277431,as-is,2704.05908203,14004.0800781,0,0,0,1.22
PHerc0125,4516,12,20277431,no-division,4531.05908203,3606.07958984,1,0,0,1.22
PHerc0125,4516,13,20278431,as-is,2570.421875,14151.9697266,0,0,0,1.22
PHerc0125,4516,13,20278431,no-division,4617.421875,3873.96972656,1,0,0,1.22
PHerc0125,4516,14,20279431,as-is,2340.39477539,15784.09375,0,0,0,1.22
PHerc0125,4516,14,20279431,no-division,4502.39453125,3612.09375,1,0,0,1.22
PHerc0125,4516,15,20280431,as-is,2645.34082031,13909.1181641,0,0,0,1.22
PHerc0125,4516,15,20280431,no-division,4502.34082031,3548.11816406,1,0,0,1.22
PHerc0125,4516,16,20281431,as-is,2525.63964844,14218.40625,0,0,0,1.22
PHerc0125,4516,16,20281431,no-division,4456.63964844,3587.40625,1,0,0,1.22
PHerc0125,4516,17,20282431,as-is,2458.1706543,14337.6308594,0,0,0,1.22
PHerc0125,4516,17,20282431,no-division,4482.17089844,3425.63085938,1,0,0,1.22
PHerc0125,4516,18,20283431,as-is,2474.03466797,14746.8779297,0,0,0,1.22
PHerc0125,4516,18,20283431,no-division,4431.03466797,3564.87792969,1,0,0,1.22
PHerc0125,4516,19,20284431,as-is,2511.19262695,15148.9931641,0,0,0,1.27
PHerc0125,4516,19,20284431,no-division,4466.19238281,3435.99316406,1,0,0,1.22
PHerc0125,5308,0,20266223,as-is,2385.8737793,16209.4648438,0,0,0,1.22
PHerc0125,5308,0,20266223,no-division,4395.87402344,3799.46484375,1,0,0,1.22
PHerc0125,5308,1,20267223,as-is,2550.54101562,15799.2226562,0,0,0,1.22
PHerc0125,5308,1,20267223,no-division,4239.54101562,3859.22265625,1,0,0,1.22
PHerc0125,5308,2,20268223,as-is,2507.55493164,14412.6767578,0,0,0,1.22
PHerc0125,5308,2,20268223,no-division,4390.5546875,3828.67675781,1,0,0,1.22
PHerc0125,5308,3,20269223,as-is,2645.59887695,13916.296875,0,0,0,1.22
PHerc0125,5308,3,20269223,no-division,4171.59863281,3720.296875,1,0,0,1.22
PHerc0125,5308,4,20270223,as-is,2342.73266602,15366.1972656,0,0,0,1.22
PHerc0125,5308,4,20270223,no-division,4563.73242188,3925.19726562,1,0,0,1.22
PHerc0125,5308,5,20271223,as-is,2372.96655273,15832.2724609,0,0,0,1.22
PHerc0125,5308,5,20271223,no-division,4492.96679688,3896.27246094,1,0,0,1.22
PHerc0125,5308,6,20272223,as-is,2636.49707031,15050.0498047,0,0,0,1.22
PHerc0125,5308,6,20272223,no-division,4154.49707031,3723.04980469,1,0,0,1.22
PHerc0125,5308,7,20273223,as-is,2478.23803711,15264.0605469,0,0,0,1.22
PHerc0125,5308,7,20273223,no-division,3972.23828125,3766.06054688,1,0,0,1.22
PHerc0125,5308,8,20274223,as-is,2598.46264648,15158.421875,0,0,0,1.22
PHerc0125,5308,8,20274223,no-division,4484.46289062,3867.421875,1,0,0,1.22
PHerc0125,5308,9,20275223,as-is,2467.69775391,15453.1015625,0,0,0,1.22
PHerc0125,5308,9,20275223,no-division,4337.69775391,3909.10107422,1,0,0,1.22
PHerc0125,5308,10,20276223,as-is,2488.35229492,16099.0195312,0,0,0,1.22
PHerc0125,5308,10,20276223,no-division,4267.35253906,4019.01855469,1,0,0,1.22
PHerc0125,5308,11,20277223,as-is,2527.25024414,15627.2158203,0,0,0,1.22
PHerc0125,5308,11,20277223,no-division,4496.25,3861.21582031,1,0,0,1.22
PHerc0125,5308,12,20278223,as-is,2557.57641602,14759.2744141,0,0,0,1.22
PHerc0125,5308,12,20278223,no-division,4505.57617188,3887.27441406,1,0,0,1.22
PHerc0125,5308,13,20279223,as-is,2461.4206543,15528.3115234,0,0,0,1.22
PHerc0125,5308,13,20279223,no-division,4501.42089844,3888.31152344,1,0,0,1.22
PHerc0125,5308,14,20280223,as-is,2396.51342773,15484.8203125,0,0,0,1.22
PHerc0125,5308,14,20280223,no-division,4163.51367188,3658.8203125,1,0,0,1.22
PHerc0125,5308,15,20281223,as-is,2684.11572266,14800.1259766,0,0,0,1.22
PHerc0125,5308,15,20281223,no-division,4131.11572266,3784.12597656,1,0,0,1.22
PHerc0125,5308,16,20282223,as-is,2526.04223633,14744.9550781,0,0,0,1.22
PHerc0125,5308,16,20282223,no-division,4343.04199219,3962.95507812,1,0,0,1.22
PHerc0125,5308,17,20283223,as-is,2501.13256836,15510.9257812,0,0,0,1.22
PHerc0125,5308,17,20283223,no-division,4453.1328125,3865.92578125,1,0,0,1.22
PHerc0125,5308,18,20284223,as-is,2679.91577148,14733.8164062,0,0,0,1.22
PHerc0125,5308,18,20284223,no-division,4217.91601562,4009.81591797,1,0,0,1.22
PHerc0125,5308,19,20285223,as-is,2442.4597168,15220.4257812,0,0,0,1.22
PHerc0125,5308,19,20285223,no-division,4150.45996094,3831.42578125,1,0,0,1.17
PHerc0125,6100,0,20267015,as-is,2425.96484375,16415.8066406,0,0,0,1.22
PHerc0125,6100,0,20267015,no-division,4505.96484375,4223.80664062,1,0,0,1.22
PHerc0125,6100,1,20268015,as-is,2417.79443359,16503.8203125,0,0,0,1.22
PHerc0125,6100,1,20268015,no-division,4800.79443359,4241.82128906,1,0,0,1.22
PHerc0125,6100,2,20269015,as-is,2658.21166992,16011.8876953,0,0,0,1.22
PHerc0125,6100,2,20269015,no-division,4481.21191406,4232.88769531,1,0,0,1.22
PHerc0125,6100,3,20270015,as-is,2522.08984375,16907.3007812,0,0,0,1.22
PHerc0125,6100,3,20270015,no-division,4786.08984375,4228.30078125,1,0,0,1.22
PHerc0125,6100,4,20271015,as-is,2525.33032227,16029.8085938,0,0,0,1.22
PHerc0125,6100,4,20271015,no-division,4472.33007812,4075.80957031,1,0,0,1.22
PHerc0125,6100,5,20272015,as-is,2424.12426758,16032.5332031,0,0,0,1.22
PHerc0125,6100,5,20272015,no-division,4799.12402344,4209.53320312,1,0,0,1.22
PHerc0125,6100,6,20273015,as-is,2626.99707031,15325.6132812,0,0,0,1.22
PHerc0125,6100,6,20273015,no-division,4752.99707031,4250.61328125,1,0,0,1.22
PHerc0125,6100,7,20274015,as-is,2375.04541016,16685.5976562,0,0,0,1.22
PHerc0125,6100,7,20274015,no-division,4195.04541016,3934.59765625,1,0,0,1.22
PHerc0125,6100,8,20275015,as-is,2775.72143555,15303.7021484,0,0,0,1.22
PHerc0125,6100,8,20275015,no-division,4186.72167969,3946.70214844,1,0,0,1.22
PHerc0125,6100,9,20276015,as-is,2643.07373047,16050.2548828,0,0,0,1.17
PHerc0125,6100,9,20276015,no-division,4210.07373047,3969.25488281,1,0,0,1.17
PHerc0125,6100,10,20277015,as-is,2362.23950195,17833.7578125,0,0,0,1.22
PHerc0125,6100,10,20277015,no-division,4546.23925781,4224.7578125,1,0,0,1.22
PHerc0125,6100,11,20278015,as-is,2494.59716797,17277.3769531,0,0,0,1.22
PHerc0125,6100,11,20278015,no-division,4087.59716797,3898.37695312,1,0,0,1.22
PHerc0125,6100,12,20279015,as-is,2058.54785156,18703.9179688,0,0,0,1.22
PHerc0125,6100,12,20279015,no-division,5037.54785156,4166.91796875,1,0,0,1.22
PHerc0125,6100,13,20280015,as-is,2500.39160156,15979.6757812,0,0,0,1.22
PHerc0125,6100,13,20280015,no-division,4472.39160156,4224.67480469,1,0,0,1.22
PHerc0125,6100,14,20281015,as-is,2826.5871582,14965.4101562,0,0,0,1.22
PHerc0125,6100,14,20281015,no-division,4530.58691406,4239.41113281,1,0,0,1.22
PHerc0125,6100,15,20282015,as-is,2546.7512207,17279.0859375,0,0,0,1.22
PHerc0125,6100,15,20282015,no-division,4531.75097656,4150.08496094,1,0,0,1.17
PHerc0125,6100,16,20283015,as-is,2463.53222656,17771.96875,0,0,0,1.22
PHerc0125,6100,16,20283015,no-division,4113.53222656,3977.96875,1,0,0,1.22
PHerc0125,6100,17,20284015,as-is,2760.36938477,14665.7558594,0,0,0,1.22
PHerc0125,6100,17,20284015,no-division,4470.36914062,4237.75585938,1,0,0,1.22
PHerc0125,6100,18,20285015,as-is,2545.07324219,16411.234375,0,0,0,1.22
PHerc0125,6100,18,20285015,no-division,4459.07324219,4109.23339844,1,0,0,1.22
PHerc0125,6100,19,20286015,as-is,2521.95019531,17211.4707031,0,0,0,1.22
PHerc0125,6100,19,20286015,no-division,4402.95019531,4111.47070312,1,0,0,1.22
PHerc0125,6891,0,20267806,as-is,397929.28125,-4726585.0,0,0,0,2.62
PHerc0125,6891,0,20267806,no-division,4505.28173828,4175.71533203,1,0,0,1.22
PHerc0125,6891,1,20268806,as-is,394324.46875,-4220649.0,0,0,0,2.42
PHerc0125,6891,1,20268806,no-division,3993.45898438,3890.09033203,1,0,0,1.22
PHerc0125,6891,2,20269806,as-is,409088.1875,-4365783.5,0,0,0,2.52
PHerc0125,6891,2,20269806,no-division,4251.20605469,4229.38720703,1,0,0,1.22
PHerc0125,6891,3,20270806,as-is,439539.125,-4788258.5,0,0,0,2.62
PHerc0125,6891,3,20270806,no-division,4606.12744141,4389.38183594,1,0,0,1.22
PHerc0125,6891,4,20271806,as-is,464960.9375,-5506443.5,0,0,0,2.87
PHerc0125,6891,4,20271806,no-division,4490.93164062,4216.36572266,1,0,0,1.22
PHerc0125,6891,5,20272806,as-is,335946.8125,-3879102.5,0,0,0,2.42
PHerc0125,6891,5,20272806,no-division,4638.80175781,4112.49072266,1,0,0,1.22
PHerc0125,6891,6,20273806,as-is,466792.9375,-5131344.5,0,0,0,2.72
PHerc0125,6891,6,20273806,no-division,4599.95605469,4203.46923828,1,0,0,1.22
PHerc0125,6891,7,20274806,as-is,335232.5,-3865457.25,0,0,0,2.37
PHerc0125,6891,7,20274806,no-division,4332.49511719,4210.67871094,1,0,0,1.22
PHerc0125,6891,8,20275806,as-is,345840.03125,-4826884.5,0,0,0,2.72
PHerc0125,6891,8,20275806,no-division,4217.04150391,4308.36572266,1,0,0,1.22
PHerc0125,6891,9,20276806,as-is,2887.66455078,18560.7792969,0,0,0,1.27
PHerc0125,6891,9,20276806,no-division,4555.66455078,4218.77929688,1,0,0,1.22
PHerc0125,6891,10,20277806,as-is,431281.5625,-4825654.0,0,0,0,2.62
PHerc0125,6891,10,20277806,no-division,4257.57910156,4335.85449219,1,0,0,1.22
PHerc0125,6891,11,20278806,as-is,419325.71875,-4790807.0,0,0,0,2.62
PHerc0125,6891,11,20278806,no-division,4372.71923828,4223.78417969,1,0,0,1.22
PHerc0125,6891,12,20279806,as-is,416380.4375,-4809405.5,0,0,0,2.62
PHerc0125,6891,12,20279806,no-division,4277.43652344,4187.36816406,1,0,0,1.22
PHerc0125,6891,13,20280806,as-is,339459.40625,-3498449.0,0,0,0,2.32
PHerc0125,6891,13,20280806,no-division,4515.41015625,4234.96386719,1,0,0,1.22
PHerc0125,6891,14,20281806,as-is,463520.4375,-4818717.0,0,0,0,2.57
PHerc0125,6891,14,20281806,no-division,4549.44042969,4052.73925781,1,0,0,1.22
PHerc0125,6891,15,20282806,as-is,342355.0,-3894354.5,0,0,0,2.37
PHerc0125,6891,15,20282806,no-division,4520.00488281,4029.42480469,1,0,0,1.22
PHerc0125,6891,16,20283806,as-is,2916.33032227,17256.21875,0,0,0,1.22
PHerc0125,6891,16,20283806,no-division,4553.33007812,4015.21972656,1,0,0,1.22
PHerc0125,6891,17,20284806,as-is,3086.40576172,15732.4101562,0,0,0,1.22
PHerc0125,6891,17,20284806,no-division,4619.40576172,4211.40917969,1,0,0,1.22
PHerc0125,6891,18,20285806,as-is,378872.5,-4121455.25,0,0,0,2.42
PHerc0125,6891,18,20285806,no-division,4340.51269531,4348.73242188,1,0,0,1.22
PHerc0125,6891,19,20286806,as-is,409023.65625,-4770760.0,0,0,0,2.62
PHerc0125,6891,19,20286806,no-division,4410.64892578,4236.2734375,1,0,0,1.22
PHerc0125,7683,0,20268598,as-is,6506.73193359,-25428.6171875,0,0,0,1.27
PHerc0125,7683,0,20268598,no-division,4533.73193359,4367.38330078,1,0,0,1.22
PHerc0125,7683,1,20269598,as-is,6815.14599609,-30702.9472656,0,0,0,1.32
PHerc0125,7683,1,20269598,no-division,4512.14599609,4085.05224609,1,0,0,1.22
PHerc0125,7683,2,20270598,as-is,11258.6289062,-88022.125,0,0,0,1.42
PHerc0125,7683,2,20270598,no-division,4610.62939453,4210.87011719,1,0,0,1.22
PHerc0125,7683,3,20271598,as-is,9741.29492188,-64340.421875,0,0,0,1.37
PHerc0125,7683,3,20271598,no-division,4106.29443359,4198.578125,1,0,0,1.22
PHerc0125,7683,4,20272598,as-is,8154.71240234,-54802.4882812,0,0,0,1.32
PHerc0125,7683,4,20272598,no-division,4702.71240234,4091.51220703,1,0,0,1.22
PHerc0125,7683,5,20273598,as-is,7880.52441406,-45009.3203125,0,0,0,1.32
PHerc0125,7683,5,20273598,no-division,4439.52441406,4186.68017578,1,0,0,1.22
PHerc0125,7683,6,20274598,as-is,29864.7714844,-311030.5,0,0,0,1.82
PHerc0125,7683,6,20274598,no-division,4359.77197266,4336.50390625,1,0,0,1.22
PHerc0125,7683,7,20275598,as-is,7911.37890625,-41249.2421875,0,0,0,1.32
PHerc0125,7683,7,20275598,no-division,4112.37890625,4158.76025391,1,0,0,1.22
PHerc0125,7683,8,20276598,as-is,12371.5761719,-114457.171875,0,0,0,1.47
PHerc0125,7683,8,20276598,no-division,4322.57617188,4312.82861328,1,0,0,1.22
PHerc0125,7683,9,20277598,as-is,24780.1445312,-253964.21875,0,0,0,1.77
PHerc0125,7683,9,20277598,no-division,4580.14453125,4376.77978516,1,0,0,1.22
PHerc0125,7683,10,20278598,as-is,12412.8867188,-110152.375,0,0,0,1.47
PHerc0125,7683,10,20278598,no-division,4578.88720703,4362.62792969,1,0,0,1.22
PHerc0125,7683,11,20279598,as-is,15033.0810547,-133861.109375,0,0,0,1.52
PHerc0125,7683,11,20279598,no-division,4692.08105469,4340.88671875,1,0,0,1.22
PHerc0125,7683,12,20280598,as-is,7272.00292969,-41017.8515625,0,0,0,1.32
PHerc0125,7683,12,20280598,no-division,4767.00292969,4237.14599609,1,0,0,1.22
PHerc0125,7683,13,20281598,as-is,12751.6816406,-104692.28125,0,0,0,1.47
PHerc0125,7683,13,20281598,no-division,4569.68115234,4391.71679688,1,0,0,1.22
PHerc0125,7683,14,20282598,as-is,21211.1835938,-192670.765625,0,0,0,1.67
PHerc0125,7683,14,20282598,no-division,4359.18457031,4317.23535156,1,0,0,1.22
PHerc0125,7683,15,20283598,as-is,8108.21386719,-42795.4882812,0,0,0,1.32
PHerc0125,7683,15,20283598,no-division,4717.21386719,4164.51123047,1,0,0,1.22
PHerc0125,7683,16,20284598,as-is,10879.0488281,-76014.4921875,0,0,0,1.42
PHerc0125,7683,16,20284598,no-division,4461.04833984,4350.50585938,1,0,0,1.22
PHerc0125,7683,17,20285598,as-is,14305.7431641,-137287.65625,0,0,0,1.52
PHerc0125,7683,17,20285598,no-division,4604.74316406,4371.34863281,1,0,0,1.22
PHerc0125,7683,18,20286598,as-is,30371.6972656,-341724.8125,0,0,0,1.82
