scroll,z,variant,seed,role,x,y,width,height,inside,capped,guard,seconds
PHerc0125,16889,no-division,16896,spread,4402.77,4227.89,8387.0,8387.0,1,0,0,1.22
PHerc0125,16889,no-division,140345,spread,4526.31,4246.04,8387.0,8387.0,1,0,0,1.17
PHerc0125,17650,as-is,20278565,position,4947.96,-2810.39,8387.0,8387.0,0,0,0,1.22
PHerc0125,17650,no-division,20278565,position,4304.96,4095.61,8387.0,8387.0,1,0,0,1.22
PHerc0125,17650,no-division,17657,spread,4394.73,4085.85,8387.0,8387.0,1,0,0,1.27
PHerc0125,17650,no-division,141106,spread,4460.66,4109.76,8387.0,8387.0,1,0,0,1.22
PHerc0125,18411,as-is,20279326,position,4824.63,-3965.62,8387.0,8387.0,0,0,0,1.22
PHerc0125,18411,no-division,20279326,position,4668.63,4009.38,8387.0,8387.0,1,0,0,1.22
PHerc0125,18411,no-division,18418,spread,4616.45,4000.0,8387.0,8387.0,1,0,0,1.27
PHerc0125,18411,no-division,141867,spread,4604.97,3996.63,8387.0,8387.0,1,0,0,1.22
PHerc0125,19172,as-is,20280087,position,-3905.74,62888.1,8387.0,8387.0,0,0,0,1.42
PHerc0125,19172,no-division,20280087,position,4769.26,3829.1,8387.0,8387.0,1,0,0,1.22
PHerc0125,19172,no-division,19179,spread,4712.7,3825.21,8387.0,8387.0,1,0,0,1.22
PHerc0125,19172,no-division,142628,spread,4711.51,3877.48,8387.0,8387.0,1,0,0,1.22
PHerc0175A,1019,as-is,20261934,position,6764.34,5246.1,9363.0,9363.0,1,0,0,1.22
PHerc0175A,1019,no-division,20261934,position,7160.34,4574.1,9363.0,9363.0,1,0,0,1.22
PHerc0175A,1019,no-division,1026,spread,7050.95,4444.37,9363.0,9363.0,1,0,0,1.22
PHerc0175A,1019,no-division,124475,spread,7275.86,4699.68,9363.0,9363.0,1,0,0,1.22
PHerc0175A,1485,as-is,20262400,position,3597.9,5275.72,9363.0,9363.0,1,0,0,1.22
PHerc0175A,1485,no-division,20262400,position,4709.9,3259.72,9363.0,9363.0,1,0,0,1.22
PHerc0175A,1485,no-division,1492,spread,4701.98,3267.32,9363.0,9363.0,1,0,0,1.22
PHerc0175A,1485,no-division,124941,spread,4703.67,3273.94,9363.0,9363.0,1,0,0,1.22
PHerc0175A,1950,as-is,20262865,position,4332.77,5073.04,9363.0,9363.0,1,0,0,1.22
PHerc0175A,1950,no-division,20262865,position,3760.77,5328.04,9363.0,9363.0,1,0,0,1.22
PHerc0175A,1950,no-division,1957,spread,3929.73,5470.63,9363.0,9363.0,1,0,0,1.22
PHerc0175A,1950,no-division,125406,spread,3940.36,5520.4,9363.0,9363.0,1,0,0,1.22
PHerc0175A,2416,as-is,20263331,position,6010.39,331.95,9363.0,9363.0,1,0,0,1.17
PHerc0175A,2416,no-division,20263331,position,4267.39,5976.96,9363.0,9363.0,1,0,0,1.22
PHerc0175A,2416,no-division,2423,spread,4205.88,5960.92,9363.0,9363.0,1,0,0,1.22
PHerc0175A,2416,no-division,125872,spread,4371.26,5973.45,9363.0,9363.0,1,0,0,1.22
PHerc0175A,2882,as-is,20263797,position,6157.98,1787.54,9363.0,9363.0,1,0,0,1.22
PHerc0175A,2882,no-division,20263797,position,3706.98,6380.54,9363.0,9363.0,1,0,0,1.22
PHerc0175A,2882,no-division,2889,spread,3678.43,6489.55,9363.0,9363.0,1,0,0,1.22
PHerc0175A,2882,no-division,126338,spread,3740.04,6546.98,9363.0,9363.0,1,0,0,1.22
PHerc0175A,3347,as-is,20264262,position,6315.68,2004.18,9363.0,9363.0,1,0,0,1.22
PHerc0175A,3347,no-division,20264262,position,3759.68,6413.18,9363.0,9363.0,1,0,0,1.22
PHerc0175A,3347,no-division,3354,spread,3763.52,6369.32,9363.0,9363.0,1,0,0,1.22
PHerc0175A,3347,no-division,126803,spread,3756.91,6392.39,9363.0,9363.0,1,0,0,1.22
PHerc0175A,3813,as-is,20264728,position,6502.32,1238.86,9363.0,9363.0,1,0,0,1.22
PHerc0175A,3813,no-division,20264728,position,3924.32,6144.86,9363.0,9363.0,1,0,0,1.22
PHerc0175A,3813,no-division,3820,spread,3924.65,5977.79,9363.0,9363.0,1,0,0,1.27
PHerc0175A,3813,no-division,127269,spread,3957.0,6106.24,9363.0,9363.0,1,0,0,1.22
PHerc0175A,4278,as-is,20265193,position,6669.47,1195.97,9363.0,9363.0,1,0,0,1.22
PHerc0175A,4278,no-division,20265193,position,3975.47,5783.98,9363.0,9363.0,1,0,0,1.22
PHerc0175A,4278,no-division,4285,spread,3955.71,5716.79,9363.0,9363.0,1,0,0,1.22
PHerc0175A,4278,no-division,127734,spread,4002.76,5882.92,9363.0,9363.0,1,0,0,1.22
PHerc0175A,4744,as-is,20265659,position,6229.15,1539.06,9363.0,9363.0,1,0,0,1.22
PHerc0175A,4744,no-division,20265659,position,4019.15,5587.06,9363.0,9363.0,1,0,0,1.22
PHerc0175A,4744,no-division,4751,spread,4035.21,5590.5,9363.0,9363.0,1,0,0,1.22
PHerc0175A,4744,no-division,128200,spread,4048.56,5646.42,9363.0,9363.0,1,0,0,1.22
PHerc0175A,5210,as-is,20266125,position,4080.16,5572.49,9363.0,9363.0,1,0,0,1.22
PHerc0175A,5210,no-division,20266125,position,4077.16,5552.49,9363.0,9363.0,1,0,0,1.22
PHerc0175A,5210,no-division,5217,spread,4121.91,5558.88,9363.0,9363.0,1,0,0,1.22
PHerc0175A,5210,no-division,128666,spread,4041.63,5564.57,9363.0,9363.0,1,0,0,1.22
PHerc0175A,5675,as-is,20266590,position,4125.49,5587.27,9363.0,9363.0,1,0,0,1.22
PHerc0175A,5675,no-division,20266590,position,4126.49,5567.27,9363.0,9363.0,1,0,0,1.22
PHerc0175A,5675,no-division,5682,spread,4147.89,5593.1,9363.0,9363.0,1,0,0,1.22
PHerc0175A,5675,no-division,129131,spread,4112.52,5573.95,9363.0,9363.0,1,0,0,1.22
PHerc0175A,6141,as-is,20267056,position,4173.35,5581.12,9363.0,9363.0,1,0,0,1.22
PHerc0175A,6141,no-division,20267056,position,4167.35,5582.12,9363.0,9363.0,1,0,0,1.17
PHerc0175A,6141,no-division,6148,spread,4059.02,5533.69,9363.0,9363.0,1,0,0,1.22
PHerc0175A,6141,no-division,129597,spread,4052.97,5518.75,9363.0,9363.0,1,0,0,1.22
PHerc0175A,6606,as-is,20267521,position,4263.69,5455.74,9363.0,9363.0,1,0,0,1.22
PHerc0175A,6606,no-division,20267521,position,4273.69,5445.74,9363.0,9363.0,1,0,0,1.22
PHerc0175A,6606,no-division,6613,spread,4240.77,5502.42,9363.0,9363.0,1,0,0,1.22
PHerc0175A,6606,no-division,130062,spread,4154.2,5468.62,9363.0,9363.0,1,0,0,1.22
PHerc0175A,7072,as-is,20267987,position,4721.96,5499.99,9363.0,9363.0,1,0,0,1.22
PHerc0175A,7072,no-division,20267987,position,4287.96,5377.99,9363.0,9363.0,1,0,0,1.22
PHerc0175A,7072,no-division,7079,spread,4262.83,5510.75,9363.0,9363.0,1,0,0,1.22
PHerc0175A,7072,no-division,130528,spread,4412.63,5435.37,9363.0,9363.0,1,0,0,1.22
PHerc0175A,7537,as-is,20268452,position,4858.51,5487.65,9363.0,9363.0,1,0,0,1.22
PHerc0175A,7537,no-division,20268452,position,4436.51,5383.65,9363.0,9363.0,1,0,0,1.17
PHerc0175A,7537,no-division,7544,spread,4672.82,5105.98,9363.0,9363.0,1,0,0,1.22
PHerc0175A,7537,no-division,130993,spread,4499.05,5398.09,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8003,as-is,20268918,position,4749.49,5317.7,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8003,no-division,20268918,position,4745.49,5310.7,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8003,no-division,8010,spread,4585.51,5268.69,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8003,no-division,131459,spread,4675.65,5295.0,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8469,as-is,20269384,position,4851.43,5303.26,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8469,no-division,20269384,position,4825.43,5298.26,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8469,no-division,8476,spread,4530.23,5321.16,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8469,no-division,131925,spread,4703.62,5319.49,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8934,as-is,20269849,position,4647.27,5329.68,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8934,no-division,20269849,position,4614.27,5335.68,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8934,no-division,8941,spread,4718.38,5336.09,9363.0,9363.0,1,0,0,1.22
PHerc0175A,8934,no-division,132390,spread,4683.94,5314.71,9363.0,9363.0,1,0,0,1.22
PHerc0175A,9400,as-is,20270315,position,4832.57,5227.16,9363.0,9363.0,1,0,0,1.22
PHerc0175A,9400,no-division,20270315,position,4871.57,5202.16,9363.0,9363.0,1,0,0,1.22
PHerc0175A,9400,no-division,9407,spread,4776.74,5230.96,9363.0,9363.0,1,0,0,1.22
PHerc0175A,9400,no-division,132856,spread,4596.48,5214.69,9363.0,9363.0,1,0,0,1.22
PHerc0175A,9865,as-is,20270780,position,5035.86,5228.59,9363.0,9363.0,1,0,0,1.22
PHerc0175A,9865,no-division,20270780,position,5033.86,5233.59,9363.0,9363.0,1,0,0,1.22
PHerc0175A,9865,no-division,9872,spread,4974.83,5231.73,9363.0,9363.0,1,0,0,1.27
PHerc0175A,9865,no-division,133321,spread,4923.61,5251.79,9363.0,9363.0,1,0,0,1.22
PHerc0175A,10331,as-is,20271246,position,5273.62,5048.59,9363.0,9363.0,1,0,0,1.22
PHerc0175A,10331,no-division,20271246,position,5105.62,5054.59,9363.0,9363.0,1,0,0,1.22
PHerc0175A,10331,no-division,10338,spread,5219.97,5063.69,9363.0,9363.0,1,0,0,1.22
PHerc0175A,10331,no-division,133787,spread,5000.98,4980.4,9363.0,9363.0,1,0,0,1.22
PHerc0175A,10797,as-is,20271712,position,5161.21,5038.44,9363.0,9363.0,1,0,0,1.22
PHerc0175A,10797,no-division,20271712,position,5129.21,4994.44,9363.0,9363.0,1,0,0,1.22
PHerc0175A,10797,no-division,10804,spread,5088.92,5005.63,9363.0,9363.0,1,0,0,1.27
PHerc0175A,10797,no-division,134253,spread,5233.15,4962.53,9363.0,9363.0,1,0,0,1.22
PHerc0175A,11262,as-is,20272177,position,4646.63,5002.0,9363.0,9363.0,1,0,0,1.22
PHerc0175A,11262,no-division,20272177,position,4081.63,4832.0,9363.0,9363.0,1,0,0,1.22
PHerc0175A,11262,no-division,11269,spread,4088.09,4795.22,9363.0,9363.0,1,0,0,1.22
PHerc0175A,11262,no-division,134718,spread,4088.77,4897.36,9363.0,9363.0,1,0,0,1.22
PHerc0175A,11728,as-is,20272643,position,3610.39,5079.22,9363.0,9363.0,1,0,0,1.22
PHerc0175A,11728,no-division,20272643,position,2526.39,5311.22,9363.0,9363.0,1,0,0,1.22
PHerc0175A,11728,no-division,11735,spread,2462.2,5262.14,9363.0,9363.0,1,0,0,1.22
PHerc0175A,11728,no-division,135184,spread,2520.92,5309.84,9363.0,9363.0,1,0,0,1.22
PHerc0175B,1271,as-is,20262186,position,5077.49,4951.91,9613.0,9613.0,1,0,0,1.22
PHerc0175B,1271,no-division,20262186,position,5211.49,5620.91,9613.0,9613.0,1,0,0,1.22
PHerc0175B,1271,no-division,1278,spread,5039.36,5603.48,9613.0,9613.0,1,0,0,1.22
PHerc0175B,1271,no-division,124727,spread,5215.38,5637.86,9613.0,9613.0,1,0,0,1.22
PHerc0175B,1852,as-is,20262767,position,5233.92,5182.73,9613.0,9613.0,1,0,0,1.22
PHerc0175B,1852,no-division,20262767,position,5355.92,5322.73,9613.0,9613.0,1,0,0,1.22
PHerc0175B,1852,no-division,1859,spread,5364.71,5318.95,9613.0,9613.0,1,0,0,1.22
PHerc0175B,1852,no-division,125308,spread,5406.29,5344.51,9613.0,9613.0,1,0,0,1.22
PHerc0175B,2432,as-is,20263347,position,4817.84,5578.5,9613.0,9613.0,1,0,0,1.22
PHerc0175B,2432,no-division,20263347,position,4789.84,5608.5,9613.0,9613.0,1,0,0,1.22
PHerc0175B,2432,no-division,2439,spread,4802.35,5566.16,9613.0,9613.0,1,0,0,1.22
PHerc0175B,2432,no-division,125888,spread,4832.09,5588.13,9613.0,9613.0,1,0,0,1.22
PHerc0175B,3013,as-is,20263928,position,4513.28,5796.57,9613.0,9613.0,1,0,0,1.22
PHerc0175B,3013,no-division,20263928,position,4370.28,5790.57,9613.0,9613.0,1,0,0,1.22
PHerc0175B,3013,no-division,3020,spread,4288.67,5708.92,9613.0,9613.0,1,0,0,1.27
PHerc0175B,3013,no-division,126469,spread,4336.96,5744.76,9613.0,9613.0,1,0,0,1.22
PHerc0175B,3594,as-is,20264509,position,4047.74,5518.81,9613.0,9613.0,1,0,0,1.22
PHerc0175B,3594,no-division,20264509,position,3922.74,5796.81,9613.0,9613.0,1,0,0,1.22
PHerc0175B,3594,no-division,3601,spread,3983.72,5858.17,9613.0,9613.0,1,0,0,1.22
PHerc0175B,3594,no-division,127050,spread,4007.37,5815.91,9613.0,9613.0,1,0,0,1.22
PHerc0175B,4174,as-is,20265089,position,4716.59,4823.5,9613.0,9613.0,1,0,0,1.22
PHerc0175B,4174,no-division,20265089,position,4061.59,5323.5,9613.0,9613.0,1,0,0,1.22
PHerc0175B,4174,no-division,4181,spread,4099.92,5225.17,9613.0,9613.0,1,0,0,1.22
PHerc0175B,4174,no-division,127630,spread,4070.2,5402.39,9613.0,9613.0,1,0,0,1.22
PHerc0175B,4755,as-is,20265670,position,4987.8,4710.11,9613.0,9613.0,1,0,0,1.22
PHerc0175B,4755,no-division,20265670,position,5191.8,5015.11,9613.0,9613.0,1,0,0,1.22
PHerc0175B,4755,no-division,4762,spread,5250.2,4999.65,9613.0,9613.0,1,0,0,1.22
PHerc0175B,4755,no-division,128211,spread,5359.98,4648.24,9613.0,9613.0,1,0,0,1.22
PHerc0175B,5335,as-is,20266250,position,5063.22,3421.5,9613.0,9613.0,1,0,0,1.22
PHerc0175B,5335,no-division,20266250,position,4964.22,4674.5,9613.0,9613.0,1,0,0,1.22
PHerc0175B,5335,no-division,5342,spread,4826.43,4584.27,9613.0,9613.0,1,0,0,1.22
PHerc0175B,5335,no-division,128791,spread,4946.14,4633.3,9613.0,9613.0,1,0,0,1.22
PHerc0175B,5916,as-is,20266831,position,4975.15,4454.38,9613.0,9613.0,1,0,0,1.22
PHerc0175B,5916,no-division,20266831,position,4958.15,4471.38,9613.0,9613.0,1,0,0,1.22
PHerc0175B,5916,no-division,5923,spread,4705.51,4967.65,9613.0,9613.0,1,0,0,1.22
PHerc0175B,5916,no-division,129372,spread,4124.63,5300.03,9613.0,9613.0,1,0,0,1.22
PHerc0175B,6497,as-is,20267412,position,5202.81,3967.66,9613.0,9613.0,1,0,0,1.22
PHerc0175B,6497,no-division,20267412,position,5224.81,3896.66,9613.0,9613.0,1,0,0,1.22
PHerc0175B,6497,no-division,6504,spread,5258.46,3857.94,9613.0,9613.0,1,0,0,1.22
PHerc0175B,6497,no-division,129953,spread,5249.63,3871.44,9613.0,9613.0,1,0,0,1.22
PHerc0175B,7077,as-is,20267992,position,4723.94,4540.36,9613.0,9613.0,1,0,0,1.22
PHerc0175B,7077,no-division,20267992,position,4605.94,3438.36,9613.0,9613.0,1,0,0,1.22
PHerc0175B,7077,no-division,7084,spread,4584.33,3474.43,9613.0,9613.0,1,0,0,1.22
PHerc0175B,7077,no-division,130533,spread,4664.41,3719.97,9613.0,9613.0,1,0,0,1.22
PHerc0175B,7658,as-is,20268573,position,4101.38,4354.9,9613.0,9613.0,1,0,0,1.22
PHerc0175B,7658,no-division,20268573,position,4744.38,3983.9,9613.0,9613.0,1,0,0,1.22
PHerc0175B,7658,no-division,7665,spread,4614.09,3666.4,9613.0,9613.0,1,0,0,1.22
PHerc0175B,7658,no-division,131114,spread,4881.72,4029.87,9613.0,9613.0,1,0,0,1.22
PHerc0175B,8238,as-is,20269153,position,5582.62,4234.93,9613.0,9613.0,1,0,0,1.22
PHerc0175B,8238,no-division,20269153,position,5014.62,4282.93,9613.0,9613.0,1,0,0,1.22
PHerc0175B,8238,no-division,8245,spread,4932.41,4422.82,9613.0,9613.0,1,0,0,1.22
PHerc0175B,8238,no-division,131694,spread,4902.85,4330.44,9613.0,9613.0,1,0,0,1.22
PHerc0175B,8819,as-is,20269734,position,4626.47,4865.98,9613.0,9613.0,1,0,0,1.22
PHerc0175B,8819,no-division,20269734,position,5131.47,4285.98,9613.0,9613.0,1,0,0,1.22
PHerc0175B,8819,no-division,8826,spread,5098.51,4288.79,9613.0,9613.0,1,0,0,1.22
PHerc0175B,8819,no-division,132275,spread,5220.33,4283.23,9613.0,9613.0,1,0,0,1.22
PHerc0175B,9399,as-is,20270314,position,5743.43,5221.89,9613.0,9613.0,1,0,0,1.22
PHerc0175B,9399,no-division,20270314,position,5857.43,4537.89,9613.0,9613.0,1,0,0,1.22
PHerc0175B,9399,no-division,9406,spread,5717.2,4482.17,9613.0,9613.0,1,0,0,1.22
PHerc0175B,9399,no-division,132855,spread,5834.82,4507.49,9613.0,9613.0,1,0,0,1.22
PHerc0175B,9980,as-is,20270895,position,5346.78,4850.8,9613.0,9613.0,1,0,0,1.22
PHerc0175B,9980,no-division,20270895,position,5500.78,5619.8,9613.0,9613.0,1,0,0,1.22
PHerc0175B,9980,no-division,9987,spread,5420.83,5643.18,9613.0,9613.0,1,0,0,1.22
PHerc0175B,9980,no-division,133436,spread,5459.22,5609.99,9613.0,9613.0,1,0,0,1.22
PHerc0175B,10561,as-is,20271476,position,5340.17,5862.47,9613.0,9613.0,1,0,0,1.22
PHerc0175B,10561,no-division,20271476,position,5329.17,5904.47,9613.0,9613.0,1,0,0,1.22
PHerc0175B,10561,no-division,10568,spread,5306.81,5877.74,9613.0,9613.0,1,0,0,1.22
PHerc0175B,10561,no-division,134017,spread,5300.07,5869.72,9613.0,9613.0,1,0,0,1.22
PHerc0175B,11141,as-is,20272056,position,5196.7,5348.55,9613.0,9613.0,1,0,0,1.22
PHerc0175B,11141,no-division,20272056,position,5369.7,5684.55,9613.0,9613.0,1,0,0,1.22
PHerc0175B,11141,no-division,11148,spread,5439.74,5746.35,9613.0,9613.0,1,0,0,1.22
PHerc0175B,11141,no-division,134597,spread,5402.07,5705.43,9613.0,9613.0,1,0,0,1.22
PHerc0175B,11722,as-is,20272637,position,4807.06,5500.32,9613.0,9613.0,1,0,0,1.22
PHerc0175B,11722,no-division,20272637,position,5159.06,5745.32,9613.0,9613.0,1,0,0,1.22
PHerc0175B,11722,no-division,11729,spread,5125.85,5441.32,9613.0,9613.0,1,0,0,1.22
PHerc0175B,11722,no-division,135178,spread,4941.98,5416.98,9613.0,9613.0,1,0,0,1.22
PHerc0175B,12302,as-is,20273217,position,4696.1,5445.62,9613.0,9613.0,1,0,0,1.22
PHerc0175B,12302,no-division,20273217,position,4703.1,5267.62,9613.0,9613.0,1,0,0,1.22
PHerc0175B,12302,no-division,12309,spread,4695.73,5273.24,9613.0,9613.0,1,0,0,1.22
PHerc0175B,12302,no-division,135758,spread,4630.15,5370.78,9613.0,9613.0,1,0,0,1.22
PHerc0175B,12883,as-is,20273798,position,4143.06,5718.66,9613.0,9613.0,1,0,0,1.22
PHerc0175B,12883,no-division,20273798,position,4141.06,5715.66,9613.0,9613.0,1,0,0,1.22
