scroll,z,segments,samples,lambda_max,lambda_min,mean_at_reference,lambda_over_mean,predicts_runaway,estimate_k0_x,estimate_k0_y,mean_at_refined,predicts_runaway_refined,seeds,seeds_outside,outside_majority,outside_seed_zero
PHerc0211,16279,29674,10000,0.5723,0.4277,0.6687,0.8558,0,4352.7,3572.26,0.7003,0,20,0,0,0
PHerc0211,17008,26867,10000,0.5719,0.4281,0.6884,0.8309,0,3707.77,4111.9,0.6917,0,20,0,0,0
PHerc0211,17737,20744,10000,0.5261,0.4739,0.6632,0.7933,0,3445.8,5224.5,0.6624,0,20,0,0,0
PHerc0211,18466,13870,10000,0.5809,0.4191,0.6562,0.8853,0,3244.27,4890.6,0.6606,0,20,0,0,0
PHerc0332,698,453,10000,0.5335,0.4665,0.7649,0.6975,0,1823.6,2002.91,0.8028,0,20,0,0,0
PHerc0332,1033,6710,10000,0.6099,0.3901,0.931,0.6551,0,2125.41,2096.58,0.9346,0,20,0,0,0
PHerc0332,1367,9820,10000,0.6102,0.3898,0.9107,0.67,0,2116.27,2090.18,0.9145,0,20,0,0,0
PHerc0332,1701,10602,10000,0.5818,0.4182,0.9168,0.6346,0,2112.18,2087.24,0.9205,0,20,0,0,0
PHerc0332,2036,10813,10000,0.5774,0.4226,0.9012,0.6408,0,2099.76,2084.58,0.9072,0,20,0,0,0
PHerc0332,2370,11030,10000,0.5839,0.4161,0.9096,0.642,0,2089.67,2113.0,0.9178,0,20,0,0,0
PHerc0332,2704,11200,10000,0.5795,0.4205,0.8812,0.6576,0,2079.46,2090.69,0.8827,0,20,0,0,0
PHerc0332,3039,10679,10000,0.574,0.426,0.8877,0.6466,0,2064.23,2100.8,0.8903,0,20,0,0,0
PHerc0332,3373,10458,10000,0.576,0.424,0.8659,0.6651,0,2041.0,2112.3,0.866,0,20,0,0,0
PHerc0332,3707,10376,10000,0.5865,0.4135,0.894,0.656,0,2025.63,2125.11,0.8959,0,20,0,0,0
PHerc0332,4042,10882,10000,0.5809,0.4191,0.8863,0.6555,0,2018.02,2123.06,0.8983,0,20,0,0,0
PHerc0332,4376,10740,10000,0.5642,0.4358,0.8937,0.6312,0,1926.42,2079.23,0.913,0,20,0,0,0
PHerc0332,4710,10439,10000,0.5713,0.4287,0.9057,0.6308,0,1899.97,2015.44,0.9065,0,20,0,0,0
PHerc0332,5044,10318,10000,0.5858,0.4142,0.8849,0.662,0,1944.45,1992.09,0.887,0,20,0,0,0
PHerc0332,5379,10711,10000,0.5906,0.4094,0.9083,0.6503,0,1973.06,2010.6,0.9186,0,20,0,0,0
PHerc0332,5713,10902,10000,0.5783,0.4217,0.9049,0.6391,0,2030.62,2035.44,0.9256,0,20,0,0,0
PHerc0332,6047,10575,10000,0.5373,0.4627,0.9473,0.5671,0,2053.28,2067.4,0.9494,0,20,0,0,0
PHerc0332,6382,10507,10000,0.5555,0.4445,0.9424,0.5895,0,2085.05,2117.31,0.9445,0,20,0,0,0
PHerc0332,6716,10800,10000,0.5461,0.4539,0.923,0.5917,0,2097.77,2156.83,0.924,0,20,0,0,0
PHerc0332,7050,10360,10000,0.5631,0.4369,0.9167,0.6142,0,2170.14,2080.44,0.9334,0,20,0,0,0
PHerc0332,7385,9451,10000,0.5614,0.4386,0.9173,0.6121,0,2191.24,2006.88,0.9197,0,20,0,0,0
PHerc0332,7719,9483,10000,0.5343,0.4657,0.9254,0.5773,0,2197.96,1894.95,0.9282,0,20,0,0,0
PHerc0332,8053,7755,10000,0.5741,0.4259,0.939,0.6114,0,2187.96,1899.71,0.9394,0,20,0,0,0
PHerc0332,8388,8765,10000,0.6223,0.3777,0.5533,1.1246,1,1550624.12,1863843.25,0.6222,1,20,20,1,1
PHerc0826,1941,18648,10000,0.7413,0.2587,0.6435,1.152,1,5048.74,-3158.38,0.7582,0,20,20,1,1
PHerc0826,2564,25235,10000,0.7451,0.2549,0.7032,1.0596,1,5781.63,-4070.11,0.7531,0,20,20,1,1
PHerc0826,3186,22969,10000,0.7336,0.2664,0.6442,1.1387,1,2485.5,9961.94,0.7431,0,20,20,1,1
PHerc0826,3809,23887,10000,0.7297,0.2703,0.6043,1.2075,1,2384.88,7355.42,0.7685,0,20,0,0,0
PHerc0826,4432,21614,10000,0.6941,0.3059,0.607,1.1434,1,2181.16,9156.84,0.7102,0,20,20,1,1
PHerc0826,5054,19509,10000,0.624,0.376,0.6192,1.0079,1,4624.93,3065.13,0.65,0,20,1,0,0
PHerc0826,5677,18594,10000,0.618,0.382,0.5971,1.035,1,4747.26,-105.2,0.6412,0,20,20,1,1
PHerc0826,6300,22908,10000,0.7603,0.2397,0.5096,1.492,1,3769.4,-2770.77,0.7811,0,20,20,1,1
PHerc0826,6922,21789,10000,0.7803,0.2197,0.5675,1.375,1,3410.93,-3239.94,0.7963,0,20,20,1,1
PHerc0826,7545,20932,10000,0.6672,0.3328,0.6617,1.0084,1,3678.13,-4865.91,0.6734,0,20,20,1,1
PHerc0826,8168,20750,10000,0.6561,0.3439,0.5652,1.1608,1,3208.12,284.57,0.696,0,20,1,0,0
PHerc0826,8790,24007,10000,0.6673,0.3327,0.4879,1.3677,1,3397.43,692.18,0.716,0,20,0,0,0
PHerc0826,9413,22231,10000,0.6164,0.3836,0.5771,1.0681,1,4360.81,1894.51,0.7459,0,20,0,0,0
PHerc0826,10035,20416,10000,0.7266,0.2734,0.5131,1.4162,1,4256.39,1353.19,0.7941,0,20,0,0,0
PHerc0826,10658,21235,10000,0.7825,0.2175,0.3803,2.0578,1,4319.83,905.82,0.8726,0,20,0,0,0
PHerc0826,11281,20908,10000,0.7659,0.2341,0.3942,1.9432,1,4362.31,1381.49,0.8585,0,20,0,0,0
PHerc0826,11903,22389,10000,0.8353,0.1647,0.446,1.8728,1,4427.12,-313.06,0.8952,0,20,20,1,1
PHerc0826,12526,21915,10000,0.859,0.141,0.4115,2.0876,1,4697.32,-1270.47,0.91,0,20,20,1,1
PHerc0826,13149,22067,10000,0.864,0.136,0.4082,2.1167,1,4692.46,-1638.09,0.9171,0,20,20,1,1
PHerc0826,13771,22491,10000,0.8839,0.1161,0.4305,2.0534,1,4830.76,-2919.03,0.9212,0,20,20,1,1
PHerc0826,14394,20300,10000,0.8776,0.1224,0.4552,1.9282,1,4618.22,-3903.99,0.9094,0,20,20,1,1
PHerc0826,15017,19966,10000,0.8714,0.1286,0.5032,1.7315,1,5097.95,-8474.67,0.8823,0,20,20,1,1
PHerc0826,15639,18586,10000,0.8758,0.1242,0.4316,2.0292,1,7160.27,-28942.01,0.8776,0,20,20,1,1
PHerc0826,16262,12696,10000,0.8462,0.1538,0.5049,1.676,1,2778.21,12700.49,0.8626,0,20,20,1,1
PHercParis4,2252,26302,10000,0.7218,0.2782,0.6017,1.1995,1,862339.06,-1041764.38,0.7217,1,20,20,1,1
PHercParis4,5326,123791,10000,0.6959,0.3041,0.6083,1.144,1,21871.31,12791.4,0.7419,0,20,0,0,0
PHercParis4,8401,157814,10000,0.6662,0.3338,0.6235,1.0685,1,21518.24,14103.93,0.7456,0,20,0,0,0
PHercParis4,11475,166898,10000,0.6762,0.3238,0.6584,1.027,1,23542.28,12841.79,0.6936,0,20,0,0,0
PHercParis4,14549,163673,10000,0.6592,0.3408,0.6942,0.9496,0,13927.2,18383.44,0.694,0,20,1,0,0
PHercParis4,17623,140550,10000,0.6064,0.3936,0.6867,0.883,0,13825.87,17626.55,0.7024,0,20,0,0,0
PHercParis4,20698,147568,10000,0.6184,0.3816,0.6438,0.9606,0,16580.98,15687.75,0.6796,0,20,0,0,0
PHercParis4,23772,169505,10000,0.6425,0.3575,0.6078,1.057,1,-19342.0,59514.09,0.6457,0,20,20,1,1
PHercParis4,26846,210461,10000,0.6909,0.3091,0.6637,1.041,1,-35924.09,77156.35,0.6934,0,20,20,1,1
PHercParis4,29920,207510,10000,0.6817,0.3183,0.7329,0.9302,0,18192.5,13786.7,0.732,0,20,2,0,0
PHercParis4,32995,224438,10000,0.6613,0.3387,0.7185,0.9204,0,18424.89,13391.7,0.7233,0,20,0,0,0
PHercParis4,36069,218726,10000,0.665,0.335,0.6959,0.9556,0,18916.95,13474.58,0.6973,0,20,0,0,0
PHercParis4,39143,191079,10000,0.6612,0.3388,0.5833,1.1334,1,-5783122.5,8516307.0,0.6611,1,20,20,1,1
PHercParis4,42217,199738,10000,0.6499,0.3501,0.6124,1.0612,1,34279.77,-13120.42,0.662,0,20,20,1,1
PHercParis4,45292,213102,10000,0.6245,0.3755,0.7024,0.8891,0,18897.51,14406.43,0.7046,0,20,0,0,0
PHercParis4,48366,229316,10000,0.6171,0.3829,0.7975,0.7738,0,17613.79,15950.26,0.806,0,20,0,0,0
PHercParis4,51440,226452,10000,0.5781,0.4219,0.7795,0.7416,0,16966.38,16851.31,0.7826,0,20,0,0,0
PHercParis4,54514,227899,10000,0.5797,0.4203,0.7606,0.7622,0,16810.79,17554.19,0.7729,0,20,0,0,0
PHercParis4,57589,215164,10000,0.5641,0.4359,0.7879,0.716,0,17398.76,18097.33,0.7899,0,20,0,0,0
PHercParis4,60663,192838,10000,0.5576,0.4424,0.827,0.6742,0,17992.8,18396.11,0.8284,0,20,0,0,0
PHercParis4,63737,195190,10000,0.5336,0.4664,0.8479,0.6294,0,17537.52,19301.83,0.8485,0,20,0,0,0
PHercParis4,66811,177842,10000,0.5527,0.4473,0.805,0.6865,0,17959.36,19780.68,0.8002,0,20,0,0,0
PHercParis4,69886,130910,10000,0.5664,0.4336,0.8311,0.6815,0,17251.76,21264.95,0.8317,0,20,0,0,0
PHercParis4,72960,52864,10000,0.7362,0.2638,0.8233,0.8941,0,16591.66,22391.03,0.8232,0,20,0,0,0
PHerc0191,3496,36546,10000,0.6487,0.3513,0.8044,0.8065,0,4241.39,5365.44,0.8046,0,20,0,0,0
PHerc0191,4121,38758,10000,0.6219,0.3781,0.7217,0.8617,0,4391.36,4947.37,0.7215,0,20,0,0,0
PHerc0191,4747,36023,10000,0.634,0.366,0.6836,0.9274,0,4294.16,4774.94,0.6847,0,20,0,0,0
PHerc0191,5372,39141,10000,0.6346,0.3654,0.6597,0.9619,0,4139.11,6286.12,0.6726,0,20,0,0,0
PHerc0191,5998,40245,10000,0.6738,0.3262,0.6298,1.0698,1,4595.96,5165.35,0.7008,0,20,0,0,0
PHerc0191,6623,40238,10000,0.6322,0.3678,0.6691,0.9448,0,4341.15,4565.97,0.7126,0,20,0,0,0
PHerc0191,7248,40597,10000,0.6121,0.3879,0.6317,0.9689,0,3523.79,4833.74,0.7075,0,20,0,0,0
PHerc0191,7874,39469,10000,0.5905,0.4095,0.6659,0.8869,0,4094.93,4495.94,0.6895,0,20,0,0,0
PHerc0191,8499,31934,10000,0.6081,0.3919,0.6729,0.9038,0,4414.21,4169.23,0.676,0,20,0,0,0
PHerc0191,9125,33736,10000,0.6258,0.3742,0.5858,1.0684,1,4364.42,3722.8,0.6684,0,20,0,0,0
PHerc0191,9750,36261,10000,0.6238,0.3762,0.6606,0.9443,0,3771.81,4053.69,0.658,0,20,0,0,0
PHerc0191,10375,36273,10000,0.626,0.374,0.6357,0.9848,0,3893.52,3051.22,0.6497,0,20,0,0,0
PHerc0191,11001,37556,10000,0.5337,0.4663,0.6213,0.8589,0,4158.03,4195.73,0.6558,0,20,0,0,0
PHerc0191,11626,37142,10000,0.5348,0.4652,0.6865,0.7791,0,4121.72,4433.74,0.6889,0,20,0,0,0
PHerc0191,12251,35831,10000,0.5836,0.4164,0.705,0.8277,0,3935.61,4366.91,0.7151,0,20,0,0,0
PHerc0191,12877,31649,10000,0.5767,0.4233,0.6423,0.8978,0,4059.99,4668.89,0.7,0,20,0,0,0
PHerc0191,13502,35638,10000,0.572,0.428,0.6443,0.8876,0,4128.36,4935.25,0.6649,0,20,0,0,0
PHerc0191,14128,32448,10000,0.5922,0.4078,0.584,1.014,1,4228.84,5191.04,0.6539,0,20,0,0,0
PHerc0191,14753,38924,10000,0.559,0.441,0.6754,0.8277,0,4597.88,4495.2,0.6898,0,20,0,0,0
PHerc0191,15378,40715,10000,0.563,0.437,0.6463,0.8711,0,3923.86,4760.79,0.6693,0,20,0,0,0
PHerc0191,16004,41481,10000,0.5316,0.4684,0.6416,0.8286,0,4624.13,4137.11,0.6916,0,20,0,0,0
PHerc0191,16629,37574,10000,0.5262,0.4738,0.5371,0.9796,0,4056.73,4337.37,0.7075,0,20,0,0,0
PHerc0191,17255,35126,10000,0.597,0.403,0.6078,0.9822,0,3929.99,4474.15,0.6807,0,20,0,0,0
PHerc0191,17880,28846,10000,0.5901,0.4099,0.7227,0.8165,0,4199.25,4111.89,0.7266,0,20,0,0,0
PHerc0257,2888,24175,10000,0.5966,0.4034,0.6998,0.8525,0,4618.7,5465.44,0.7227,0,20,0,0,0
PHerc0257,3509,25954,10000,0.5565,0.4435,0.6814,0.8166,0,4444.86,5505.3,0.6852,0,20,0,0,0
PHerc0257,4130,28256,10000,0.5522,0.4478,0.7113,0.7763,0,4635.81,5295.11,0.7231,0,20,0,0,0
PHerc0257,4752,29236,10000,0.5202,0.4798,0.6766,0.7688,0,4848.39,4933.82,0.6775,0,20,0,0,0
PHerc0257,5373,28558,10000,0.511,0.489,0.6585,0.7761,0,4354.2,4988.27,0.6617,0,20,0,0,0
PHerc0257,5994,24627,10000,0.5417,0.4583,0.6251,0.8666,0,4393.93,5106.34,0.6729,0,20,0,0,0
PHerc0257,6615,23326,10000,0.554,0.446,0.5988,0.925,0,3988.94,5213.23,0.6306,0,20,0,0,0
PHerc0257,7237,17903,10000,0.5958,0.4042,0.6591,0.9039,0,4089.44,3997.26,0.6596,0,20,0,0,0
PHerc0257,7858,19578,10000,0.5563,0.4437,0.6439,0.8639,0,4294.75,3776.91,0.6482,0,20,0,0,0
PHerc0257,8479,20385,10000,0.6014,0.3986,0.6616,0.909,0,-283.77,5117.29,0.6598,0,20,14,1,1
PHerc0257,9100,23330,10000,0.6212,0.3788,0.6456,0.9623,0,1073.71,4409.4,0.7048,0,20,0,0,0
PHerc0257,9721,23616,10000,0.6227,0.3773,0.6688,0.931,0,952.36,4976.71,0.7214,0,20,0,0,0
PHerc0257,10343,25307,10000,0.6673,0.3327,0.6175,1.0806,1,1188.43,5254.05,0.7411,0,20,0,0,0
PHerc0257,10964,25138,10000,0.6892,0.3108,0.6614,1.0421,1,358.33,5464.52,0.7382,0,20,0,0,0
PHerc0257,11585,23680,10000,0.6527,0.3473,0.655,0.9964,0,1053.65,5742.41,0.7067,0,20,0,0,0
PHerc0257,12206,27135,10000,0.6659,0.3341,0.5945,1.1201,1,1450.17,5438.18,0.7527,0,20,0,0,0
PHerc0257,12827,27226,10000,0.679,0.321,0.5954,1.1405,1,480.11,6199.58,0.7362,0,20,0,0,0
PHerc0257,13449,28561,10000,0.6763,0.3237,0.5937,1.1391,1,641.2,6011.03,0.7294,0,20,0,0,0
PHerc0257,14070,27531,10000,0.692,0.308,0.5869,1.1792,1,-2028.21,8204.61,0.705,0,20,20,1,1
PHerc0257,14691,27554,10000,0.6686,0.3314,0.6239,1.0716,1,-1447.9,8043.32,0.6795,0,20,20,1,1
PHerc0257,15312,30667,10000,0.6162,0.3838,0.6622,0.9305,0,2290.66,6685.76,0.6484,0,20,0,0,0
PHerc0257,15934,26712,10000,0.6499,0.3501,0.6378,1.019,1,4077.51,4111.69,0.6575,0,20,0,0,0
PHerc0257,16555,23137,10000,0.6236,0.3764,0.6265,0.9954,0,4428.31,4255.4,0.6502,0,20,2,0,0
PHerc0257,17176,16206,10000,0.6975,0.3025,0.6385,1.0924,1,4359.54,4703.65,0.7058,0,20,0,0,0
PHerc0268,2680,40561,10000,0.6428,0.3572,0.596,1.0786,1,6429.05,12553.59,0.6567,0,20,10,0,1
PHerc0268,3111,54076,10000,0.6288,0.3712,0.617,1.0192,1,8961.23,33821.02,0.6317,0,20,20,1,1
PHerc0268,3541,61118,10000,0.6294,0.3706,0.6004,1.0483,1,5688.54,6234.99,0.6216,1,20,0,0,0
PHerc0268,3972,60504,10000,0.6799,0.3201,0.583,1.1662,1,5708.54,5210.83,0.6159,1,20,0,0,0
PHerc0268,4402,71711,10000,0.6686,0.3314,0.5899,1.1334,1,5686.52,6119.81,0.6356,1,20,0,0,0
PHerc0268,4833,69795,10000,0.6748,0.3252,0.639,1.0561,1,5807.66,5923.19,0.6716,1,20,0,0,0
PHerc0268,5264,75479,10000,0.6522,0.3478,0.6439,1.0129,1,6106.74,6018.62,0.6531,0,20,0,0,0
PHerc0268,5694,63611,10000,0.6327,0.3673,0.6403,0.9881,0,5795.42,5262.78,0.6893,0,20,0,0,0
PHerc0268,6125,64244,10000,0.6322,0.3678,0.6497,0.9732,0,5202.2,5746.45,0.6559,0,20,0,0,0
PHerc0268,6555,53338,10000,0.6144,0.3856,0.6262,0.9812,0,5607.35,5204.89,0.6613,0,20,0,0,0
PHerc0268,6986,64197,10000,0.6291,0.3709,0.6484,0.9702,0,6183.49,6107.65,0.6455,0,20,0,0,0
PHerc0268,7417,57876,10000,0.6218,0.3782,0.6191,1.0043,1,5459.62,5751.39,0.6842,0,20,0,0,0
PHerc0268,7847,63559,10000,0.638,0.362,0.6194,1.03,1,5700.29,5820.11,0.6481,0,20,0,0,0
PHerc0268,8278,58207,10000,0.6465,0.3535,0.6581,0.9823,0,6443.61,6033.9,0.6471,0,20,0,0,0
PHerc0268,8709,65114,10000,0.6307,0.3693,0.6164,1.0232,1,6420.56,5678.66,0.6467,0,20,0,0,0
PHerc0268,9139,58710,10000,0.5847,0.4153,0.6133,0.9535,0,6198.85,6102.08,0.6623,0,20,0,0,0
PHerc0268,9570,66034,10000,0.5939,0.4061,0.5965,0.9956,0,7052.07,6856.69,0.6573,0,20,0,0,0
PHerc0268,10000,67771,10000,0.6181,0.3819,0.6467,0.9558,0,6108.89,6477.69,0.7082,0,20,0,0,0
PHerc0268,10431,71229,10000,0.6192,0.3808,0.647,0.9571,0,5937.72,6222.59,0.6619,0,20,0,0,0
PHerc0268,10862,65682,10000,0.6206,0.3794,0.6847,0.9064,0,6454.9,7440.28,0.7105,0,20,0,0,0
PHerc0268,11292,78483,10000,0.5881,0.4119,0.6878,0.8551,0,6705.58,7519.06,0.696,0,20,0,0,0
PHerc0268,11723,63638,10000,0.6345,0.3655,0.7082,0.8959,0,6233.35,7223.43,0.7171,0,20,0,0,0
PHerc0268,12153,56896,10000,0.5943,0.4057,0.7348,0.8088,0,6391.76,6764.5,0.7382,0,20,0,0,0
PHerc0268,12584,40688,10000,0.6216,0.3784,0.741,0.8389,0,6345.3,5997.17,0.7782,0,20,0,0,0
PHerc0358,1768,26174,10000,0.5106,0.4894,0.7668,0.6659,0,3704.67,3586.31,0.8007,0,20,0,0,0
PHerc0358,2253,29733,10000,0.5483,0.4517,0.7027,0.7802,0,3587.98,3964.12,0.7074,0,20,0,0,0
PHerc0358,2738,33759,10000,0.5757,0.4243,0.6994,0.8231,0,3875.99,4099.17,0.693,0,20,0,0,0
PHerc0358,3223,35675,10000,0.6368,0.3632,0.6458,0.9861,0,5979.52,2382.41,0.6729,0,20,0,0,0
PHerc0358,3707,37329,10000,0.7292,0.2708,0.6722,1.0849,1,15596.07,-5833.94,0.7331,0,20,20,1,1
PHerc0358,4192,38074,10000,0.7271,0.2729,0.687,1.0584,1,16233.3,-6704.28,0.7323,0,20,20,1,1
PHerc0358,4677,37445,10000,0.7696,0.2304,0.6787,1.1338,1,13234.81,-3741.62,0.7769,0,20,20,1,1
PHerc0358,5162,38198,10000,0.747,0.253,0.6633,1.1262,1,12374.42,-2131.67,0.7559,0,20,20,1,1
PHerc0358,5647,33485,10000,0.7307,0.2693,0.5489,1.3313,1,-629798.81,611043.31,0.7307,1,20,20,1,1
PHerc0358,6132,31253,10000,0.7294,0.2706,0.573,1.273,1,-7089.37,14622.52,0.734,0,20,20,1,1
PHerc0358,6617,29494,10000,0.6883,0.3117,0.5483,1.2553,1,-4900.83,14607.12,0.6928,0,20,20,1,1
PHerc0358,7102,34222,10000,0.697,0.303,0.5598,1.2452,1,22756.67,-15890.25,0.698,0,20,20,1,1
PHerc0358,7586,31543,10000,0.6664,0.3336,0.5726,1.1638,1,10814.8,-1988.25,0.6736,0,20,20,1,1
PHerc0358,8071,29100,10000,0.6993,0.3007,0.5647,1.2384,1,17660.25,-6306.17,0.7016,0,20,20,1,1
PHerc0358,8556,31664,10000,0.6392,0.3608,0.6048,1.0568,1,3930.33,3784.64,0.6473,0,20,0,0,0
PHerc0358,9041,36326,10000,0.6175,0.3825,0.6528,0.946,0,3671.93,3732.31,0.6701,0,20,0,0,0
PHerc0358,9526,36582,10000,0.5828,0.4172,0.6484,0.8988,0,3179.2,3920.25,0.6825,0,20,0,0,0
PHerc0358,10011,39655,10000,0.5762,0.4238,0.6607,0.8721,0,3294.77,3940.84,0.6738,0,20,0,0,0
PHerc0358,10496,35873,10000,0.548,0.452,0.6602,0.83,0,3036.98,4148.94,0.681,0,20,0,0,0
PHerc0358,10981,32279,10000,0.546,0.454,0.682,0.8006,0,2358.33,4448.66,0.6892,0,20,0,0,0
PHerc0358,11465,30418,10000,0.5772,0.4228,0.6716,0.8594,0,2095.39,4388.83,0.6738,0,20,0,0,0
PHerc0358,11950,30290,10000,0.5743,0.4257,0.6296,0.9122,0,2421.82,4142.06,0.6799,0,20,0,0,0
PHerc0358,12435,29132,10000,0.5645,0.4355,0.6668,0.8466,0,3487.98,5382.73,0.6495,0,20,0,0,0
PHerc0358,12920,23285,10000,0.6587,0.3413,0.5986,1.1004,1,274.02,6556.57,0.6982,0,20,0,0,0
PHerc0800,3672,53446,10000,0.599,0.401,0.6508,0.9203,0,4816.68,4429.55,0.7228,0,20,0,0,0
PHerc0800,4441,59880,10000,0.6101,0.3899,0.6485,0.9407,0,5945.15,3789.28,0.6953,0,20,0,0,0
PHerc0800,5209,60420,10000,0.6149,0.3851,0.7285,0.8441,0,6123.89,3589.13,0.7333,0,20,0,0,0
PHerc0800,5978,51687,10000,0.5269,0.4731,0.6937,0.7595,0,5577.47,3425.86,0.7066,0,20,0,0,0
