scroll,z,k,seed,p,x,y,inside,capped,guard,seconds
PHerc0125,5308,12,20278223,0.5,4489.57617188,3865.27441406,1,0,0,1.22
PHerc0125,5308,13,20279223,0.5,4463.42089844,3860.31152344,1,0,0,1.22
PHerc0125,5308,14,20280223,0.5,4297.51367188,3801.8203125,1,0,0,1.27
PHerc0125,5308,15,20281223,0.5,4478.11572266,3864.12597656,1,0,0,1.22
PHerc0125,5308,16,20282223,0.5,4412.04199219,3866.95507812,1,0,0,1.22
PHerc0125,5308,17,20283223,0.5,4453.1328125,3863.92578125,1,0,0,1.22
PHerc0125,5308,18,20284223,0.5,4466.91601562,3855.81591797,1,0,0,1.17
PHerc0125,5308,19,20285223,0.5,4359.45996094,3787.42578125,1,0,0,1.22
PHerc0125,6100,0,20267015,0.5,4431.96484375,3577.80664062,1,0,0,1.22
PHerc0125,6100,1,20268015,0.5,4412.79443359,3603.82128906,1,0,0,1.27
PHerc0125,6100,2,20269015,0.5,3902.21191406,5756.88769531,1,0,0,1.22
PHerc0125,6100,3,20270015,0.5,4490.08984375,3621.30078125,1,0,0,1.22
PHerc0125,6100,4,20271015,0.5,4506.33007812,3637.80957031,1,0,0,1.22
PHerc0125,6100,5,20272015,0.5,4432.12402344,3588.53320312,1,0,0,1.27
PHerc0125,6100,6,20273015,0.5,4308.99707031,3545.61328125,1,0,0,1.22
PHerc0125,6100,7,20274015,0.5,4417.04541016,3609.59765625,1,0,0,1.22
PHerc0125,6100,8,20275015,0.5,4362.72167969,3533.70214844,1,0,0,1.22
PHerc0125,6100,9,20276015,0.5,3935.07373047,5777.25488281,1,0,0,1.27
PHerc0125,6100,10,20277015,0.5,4363.23925781,3530.7578125,1,0,0,1.22
PHerc0125,6100,11,20278015,0.5,3980.59716797,5784.37695312,1,0,0,1.22
PHerc0125,6100,12,20279015,0.5,4335.54785156,3540.91796875,1,0,0,1.22
PHerc0125,6100,13,20280015,0.5,4456.39160156,3653.67480469,1,0,0,1.22
PHerc0125,6100,14,20281015,0.5,4470.58691406,3637.41113281,1,0,0,1.22
PHerc0125,6100,15,20282015,0.5,4405.75097656,3631.08496094,1,0,0,1.22
PHerc0125,6100,16,20283015,0.5,4412.53222656,3582.96875,1,0,0,1.22
PHerc0125,6100,17,20284015,0.5,3770.36914062,5532.75585938,1,0,0,1.27
PHerc0125,6100,18,20285015,0.5,3778.07324219,5547.23339844,1,0,0,1.22
PHerc0125,6100,19,20286015,0.5,3874.95019531,5552.47070312,1,0,0,1.22
PHerc0125,6891,0,20267806,0.5,4803.28173828,3374.71533203,1,0,0,1.22
PHerc0125,6891,1,20268806,0.5,4808.45898438,3404.09033203,1,0,0,1.22
PHerc0125,6891,2,20269806,0.5,4846.20605469,3412.38720703,1,0,0,1.22
PHerc0125,6891,3,20270806,0.5,4475.12744141,3370.3815918,1,0,0,1.22
PHerc0125,6891,4,20271806,0.5,4857.93164062,3390.36572266,1,0,0,1.22
PHerc0125,6891,5,20272806,0.5,4892.80175781,3423.49072266,1,0,0,1.27
PHerc0125,6891,6,20273806,0.5,4706.95605469,3391.46923828,1,0,0,1.22
PHerc0125,6891,7,20274806,0.5,4739.49511719,3385.67895508,1,0,0,1.22
PHerc0125,6891,8,20275806,0.5,4795.04150391,3378.36572266,1,0,0,1.22
PHerc0125,6891,9,20276806,0.5,4894.66455078,3415.77929688,1,0,0,1.22
PHerc0125,6891,10,20277806,0.5,4712.57910156,3384.85424805,1,0,0,1.22
PHerc0125,6891,11,20278806,0.5,4569.71923828,3379.78393555,1,0,0,1.22
PHerc0125,6891,12,20279806,0.5,4852.43652344,3369.36816406,1,0,0,1.22
PHerc0125,6891,13,20280806,0.5,4490.41015625,3364.96386719,1,0,0,1.22
PHerc0125,6891,14,20281806,0.5,4702.44042969,3420.73925781,1,0,0,1.22
PHerc0125,6891,15,20282806,0.5,4789.00488281,3368.42504883,1,0,0,1.22
PHerc0125,6891,16,20283806,0.5,4789.33007812,3391.21972656,1,0,0,1.27
PHerc0125,6891,17,20284806,0.5,4807.40576172,3393.40917969,1,0,0,1.22
PHerc0125,6891,18,20285806,0.5,4733.51269531,3377.73242188,1,0,0,1.22
PHerc0125,6891,19,20286806,0.5,4808.64892578,3409.2734375,1,0,0,1.22
PHerc0125,7683,0,20268598,0.5,4699.73193359,3006.38330078,1,0,0,1.22
PHerc0125,7683,1,20269598,0.5,4636.14599609,2982.05224609,1,0,0,1.22
PHerc0125,7683,2,20270598,0.5,4709.62939453,3143.87011719,1,0,0,1.22
PHerc0125,7683,3,20271598,0.5,4686.29443359,3059.578125,1,0,0,1.22
PHerc0125,7683,4,20272598,0.5,4700.71240234,3153.51220703,1,0,0,1.22
PHerc0125,7683,5,20273598,0.5,4627.52441406,3119.68017578,1,0,0,1.22
PHerc0125,7683,6,20274598,0.5,4614.77197266,3156.50415039,1,0,0,1.22
PHerc0125,7683,7,20275598,0.5,4662.37890625,3131.76025391,1,0,0,1.22
PHerc0125,7683,8,20276598,0.5,4595.57617188,3019.82861328,1,0,0,1.22
PHerc0125,7683,9,20277598,0.5,4678.14453125,3166.77978516,1,0,0,1.22
PHerc0125,7683,10,20278598,0.5,4687.88720703,2999.62792969,1,0,0,1.22
PHerc0125,7683,11,20279598,0.5,4769.08105469,3149.88671875,1,0,0,1.22
PHerc0125,7683,12,20280598,0.5,4647.00292969,2995.14599609,1,0,0,1.22
PHerc0125,7683,13,20281598,0.5,4661.68115234,3155.71679688,1,0,0,1.22
PHerc0125,7683,14,20282598,0.5,4669.18457031,3045.23535156,1,0,0,1.22
PHerc0125,7683,15,20283598,0.5,4689.21386719,3106.51123047,1,0,0,1.27
PHerc0125,7683,16,20284598,0.5,4661.04833984,3135.50585938,1,0,0,1.22
PHerc0125,7683,17,20285598,0.5,4785.74316406,3147.34863281,1,0,0,1.22
PHerc0125,7683,18,20286598,0.5,4692.69726562,3149.18994141,1,0,0,1.22
PHerc0125,7683,19,20287598,0.5,4751.07617188,3046.75195312,1,0,0,1.22
PHerc0125,8475,0,20269390,0.5,4467.55419922,2821.02294922,1,0,0,1.17
PHerc0125,8475,1,20270390,0.5,4609.33154297,2948.28710938,1,0,0,1.22
PHerc0125,8475,2,20271390,0.5,4423.09765625,2829.31884766,1,0,0,1.17
PHerc0125,8475,3,20272390,0.5,4528.83398438,2807.94189453,1,0,0,1.22
PHerc0125,8475,4,20273390,0.5,4448.37451172,2826.30664062,1,0,0,1.22
PHerc0125,8475,5,20274390,0.5,4438.49853516,2785.08642578,1,0,0,1.22
PHerc0125,8475,6,20275390,0.5,4520.29003906,2871.8203125,1,0,0,1.22
PHerc0125,8475,7,20276390,0.5,4310.54589844,2837.05664062,1,0,0,1.22
PHerc0125,8475,8,20277390,0.5,4408.35693359,2842.47753906,1,0,0,1.22
PHerc0125,8475,9,20278390,0.5,4494.85498047,2918.35742188,1,0,0,1.22
PHerc0125,8475,10,20279390,0.5,4469.4921875,2918.51416016,1,0,0,1.22
PHerc0125,8475,11,20280390,0.5,4369.09375,2797.16699219,1,0,0,1.22
PHerc0125,8475,12,20281390,0.5,4474.68310547,2864.03222656,1,0,0,1.17
PHerc0125,8475,13,20282390,0.5,4464.23583984,2835.14453125,1,0,0,1.17
PHerc0125,8475,14,20283390,0.5,4316.18066406,2845.06982422,1,0,0,1.22
PHerc0125,8475,15,20284390,0.5,4292.80126953,2788.6875,1,0,0,1.22
PHerc0125,8475,16,20285390,0.5,4361.69873047,2781.28393555,1,0,0,1.22
PHerc0125,8475,17,20286390,0.5,4582.19091797,2812.75390625,1,0,0,1.22
PHerc0125,8475,18,20287390,0.5,4478.00195312,2896.97705078,1,0,0,1.22
PHerc0125,8475,19,20288390,0.5,4475.44335938,2882.67724609,1,0,0,1.22
PHerc0125,9267,0,20270182,0.5,4277.41357422,2634.16845703,1,0,0,1.22
PHerc0125,9267,1,20271182,0.5,4308.45751953,2633.68945312,1,0,0,1.22
PHerc0125,9267,2,20272182,0.5,4353.23632812,2633.10400391,1,0,0,1.22
PHerc0125,9267,3,20273182,0.5,4249.86181641,2641.68847656,1,0,0,1.22
PHerc0125,9267,4,20274182,0.5,4360.02197266,2654.26171875,1,0,0,1.22
PHerc0125,9267,5,20275182,0.5,4234.68164062,2680.14746094,1,0,0,1.22
PHerc0125,9267,6,20276182,0.5,4536.74316406,2686.79882812,1,0,0,1.22
PHerc0125,9267,7,20277182,0.5,4449.29785156,2679.03027344,1,0,0,1.22
PHerc0125,9267,8,20278182,0.5,4377.38671875,2650.04125977,1,0,0,1.22
PHerc0125,9267,9,20279182,0.5,4385.86816406,2691.52441406,1,0,0,1.22
PHerc0125,9267,10,20280182,0.5,4494.34667969,2680.37744141,1,0,0,1.22
PHerc0125,9267,11,20281182,0.5,4369.20849609,2659.12890625,1,0,0,1.22
PHerc0125,9267,12,20282182,0.5,4297.75341797,2684.70361328,1,0,0,1.22
PHerc0125,9267,13,20283182,0.5,4533.11035156,2679.51049805,1,0,0,1.27
PHerc0125,9267,14,20284182,0.5,4361.11230469,2635.95605469,1,0,0,1.22
PHerc0125,9267,15,20285182,0.5,4357.35644531,2639.20019531,1,0,0,1.22
PHerc0125,9267,16,20286182,0.5,4337.08789062,2660.28125,1,0,0,1.22
PHerc0125,9267,17,20287182,0.5,4480.45166016,2690.81787109,1,0,0,1.22
PHerc0125,9267,18,20288182,0.5,4285.25732422,2634.25244141,1,0,0,1.22
PHerc0125,9267,19,20289182,0.5,4313.99169922,2649.21289062,1,0,0,1.22
PHerc0125,10059,0,20270974,0.5,4725.07226562,2842.4519043,1,0,0,1.22
PHerc0125,10059,1,20271974,0.5,4763.42724609,2870.85571289,1,0,0,1.22
PHerc0125,10059,2,20272974,0.5,4753.86816406,2834.89648438,1,0,0,1.22
PHerc0125,10059,3,20273974,0.5,4662.06152344,2665.7590332,1,0,0,1.22
PHerc0125,10059,4,20274974,0.5,4786.7890625,2826.49658203,1,0,0,1.22
PHerc0125,10059,5,20275974,0.5,4682.56787109,2641.51416016,1,0,0,1.22
PHerc0125,10059,6,20276974,0.5,4679.62451172,2654.5390625,1,0,0,1.22
PHerc0125,10059,7,20277974,0.5,4685.3203125,2676.81347656,1,0,0,1.22
PHerc0125,10059,8,20278974,0.5,4684.57177734,2646.00146484,1,0,0,1.22
PHerc0125,10059,9,20279974,0.5,4681.53515625,2754.33520508,1,0,0,1.22
PHerc0125,10059,10,20280974,0.5,4690.56982422,2665.31396484,1,0,0,1.22
PHerc0125,10059,11,20281974,0.5,4682.01123047,2659.140625,1,0,0,1.22
PHerc0125,10059,12,20282974,0.5,4710.07470703,2632.19335938,1,0,0,1.22
PHerc0125,10059,13,20283974,0.5,4713.15185547,2730.27001953,1,0,0,1.22
PHerc0125,10059,14,20284974,0.5,4671.36230469,2648.89013672,1,0,0,1.22
PHerc0125,10059,15,20285974,0.5,4731.83642578,2643.37133789,1,0,0,1.27
PHerc0125,10059,16,20286974,0.5,4750.44824219,2822.3112793,1,0,0,1.22
PHerc0125,10059,17,20287974,0.5,4759.78320312,2845.07617188,1,0,0,1.22
PHerc0125,10059,18,20288974,0.5,4706.03417969,2672.72460938,1,0,0,1.27
PHerc0125,10059,19,20289974,0.5,4682.33691406,2651.07714844,1,0,0,1.22
PHerc0125,10851,0,20271766,0.5,4489.20556641,2480.69238281,1,0,0,1.22
PHerc0125,10851,1,20272766,0.5,4476.35888672,2410.75341797,1,0,0,1.22
PHerc0125,10851,2,20273766,0.5,4503.53710938,2451.05419922,1,0,0,1.27
PHerc0125,10851,3,20274766,0.5,4477.30908203,2399.09545898,1,0,0,1.22
PHerc0125,10851,4,20275766,0.5,4508.95117188,2500.58666992,1,0,0,1.22
PHerc0125,10851,5,20276766,0.5,4592.17089844,2470.71826172,1,0,0,1.27
PHerc0125,10851,6,20277766,0.5,4519.44287109,2413.53344727,1,0,0,1.22
PHerc0125,10851,7,20278766,0.5,4535.57568359,2501.12841797,1,0,0,1.22
PHerc0125,10851,8,20279766,0.5,4463.77050781,2416.44921875,1,0,0,1.22
PHerc0125,10851,9,20280766,0.5,4458.30615234,2428.79589844,1,0,0,1.22
PHerc0125,10851,10,20281766,0.5,4541.84179688,2434.10644531,1,0,0,1.22
PHerc0125,10851,11,20282766,0.5,4603.44384766,2455.98071289,1,0,0,1.22
PHerc0125,10851,12,20283766,0.5,4516.39501953,2472.06201172,1,0,0,1.22
PHerc0125,10851,13,20284766,0.5,4532.09326172,2454.83886719,1,0,0,1.22
PHerc0125,10851,14,20285766,0.5,4506.82568359,2513.00854492,1,0,0,1.22
PHerc0125,10851,15,20286766,0.5,4440.47265625,2423.51245117,1,0,0,1.22
PHerc0125,10851,16,20287766,0.5,4533.07373047,2427.07348633,1,0,0,1.22
PHerc0125,10851,17,20288766,0.5,4518.74609375,2490.49951172,1,0,0,1.22
PHerc0125,10851,18,20289766,0.5,4491.32080078,2464.57324219,1,0,0,1.27
PHerc0125,10851,19,20290766,0.5,4511.62695312,2473.40893555,1,0,0,1.22
PHerc0125,11643,0,20272558,0.5,4846.36376953,2402.28442383,1,0,0,1.22
PHerc0125,11643,1,20273558,0.5,4146.42382812,5790.21679688,1,0,0,1.22
PHerc0125,11643,2,20274558,0.5,4800.86132812,2385.22607422,1,0,0,1.22
PHerc0125,11643,3,20275558,0.5,4865.93212891,2460.70141602,1,0,0,1.22
PHerc0125,11643,4,20276558,0.5,4403.56933594,4131.99804688,1,0,0,1.22
PHerc0125,11643,5,20277558,0.5,4905.74267578,2519.01489258,1,0,0,1.22
PHerc0125,11643,6,20278558,0.5,4806.59765625,2450.68457031,1,0,0,1.22
PHerc0125,11643,7,20279558,0.5,4724.8359375,2428.09912109,1,0,0,1.22
PHerc0125,11643,8,20280558,0.5,4887.26757812,2459.91210938,1,0,0,1.22
PHerc0125,11643,9,20281558,0.5,4765.45214844,2410.5456543,1,0,0,1.22
PHerc0125,11643,10,20282558,0.5,4791.23095703,2474.53076172,1,0,0,1.22
PHerc0125,11643,11,20283558,0.5,4302.38183594,4277.77539062,1,0,0,1.22
PHerc0125,11643,12,20284558,0.5,4755.81298828,2394.06347656,1,0,0,1.22
PHerc0125,11643,13,20285558,0.5,4854.69433594,2431.62109375,1,0,0,1.22
PHerc0125,11643,14,20286558,0.5,4815.02539062,2418.77734375,1,0,0,1.27
PHerc0125,11643,15,20287558,0.5,4890.58300781,2506.05224609,1,0,0,1.22
PHerc0125,11643,16,20288558,0.5,4793.41015625,2479.31933594,1,0,0,1.22
PHerc0125,11643,17,20289558,0.5,4842.85595703,2426.69458008,1,0,0,1.22
PHerc0125,11643,18,20290558,0.5,4887.61279297,2467.00927734,1,0,0,1.22
PHerc0125,11643,19,20291558,0.5,4862.25390625,2464.69799805,1,0,0,1.22
PHerc0125,12435,0,20273350,0.5,4758.71875,2698.39477539,1,0,0,1.22
PHerc0125,12435,1,20274350,0.5,4856.16113281,2755.40209961,1,0,0,1.22
PHerc0125,12435,2,20275350,0.5,4282.11425781,4154.19091797,1,0,0,1.22
PHerc0125,12435,3,20276350,0.5,4262.49121094,4122.95166016,1,0,0,1.22
PHerc0125,12435,4,20277350,0.5,4317.26318359,4194.61767578,1,0,0,1.22
PHerc0125,12435,5,20278350,0.5,4143.64990234,4166.75585938,1,0,0,1.22
PHerc0125,12435,6,20279350,0.5,4196.95605469,4165.71533203,1,0,0,1.22
PHerc0125,12435,7,20280350,0.5,4394.45361328,4190.07714844,1,0,0,1.22
PHerc0125,12435,8,20281350,0.5,4289.65576172,4139.140625,1,0,0,1.22
PHerc0125,12435,9,20282350,0.5,4351.11083984,4136.18603516,1,0,0,1.22
PHerc0125,12435,10,20283350,0.5,4202.14111328,4170.421875,1,0,0,1.22
PHerc0125,12435,11,20284350,0.5,4188.00097656,4150.97216797,1,0,0,1.22
PHerc0125,12435,12,20285350,0.5,4382.47460938,4193.09765625,1,0,0,1.22
PHerc0125,12435,13,20286350,0.5,4244.55224609,4142.43945312,1,0,0,1.22
PHerc0125,12435,14,20287350,0.5,4258.06689453,4098.71582031,1,0,0,1.22
PHerc0125,12435,15,20288350,0.5,4239.38232422,4165.53515625,1,0,0,1.22
PHerc0125,12435,16,20289350,0.5,4240.12060547,4168.73681641,1,0,0,1.22
PHerc0125,12435,17,20290350,0.5,4152.41113281,4162.48339844,1,0,0,1.22
PHerc0125,12435,18,20291350,0.5,4342.69091797,4184.31494141,1,0,0,1.22
PHerc0125,12435,19,20292350,0.5,4344.62158203,4150.96386719,1,0,0,1.22
PHerc0125,13227,0,20274142,0.5,4663.83007812,2711.56347656,1,0,0,1.22
PHerc0125,13227,1,20275142,0.5,4708.16699219,2735.8190918,1,0,0,1.22
PHerc0125,13227,2,20276142,0.5,4386.14941406,4120.97509766,1,0,0,1.22
PHerc0125,13227,3,20277142,0.5,4857.68115234,2773.58300781,1,0,0,1.22
PHerc0125,13227,4,20278142,0.5,4712.63769531,2725.25146484,1,0,0,1.22
PHerc0125,13227,5,20279142,0.5,4778.27929688,2863.15136719,1,0,0,1.22
PHerc0125,13227,6,20280142,0.5,4707.75146484,2754.99316406,1,0,0,1.22
PHerc0125,13227,7,20281142,0.5,4796.73242188,2632.83544922,1,0,0,1.22
PHerc0125,13227,8,20282142,0.5,4328.59423828,4113.65625,1,0,0,1.22
PHerc0125,13227,9,20283142,0.5,4719.08496094,2718.97314453,1,0,0,1.22
PHerc0125,13227,10,20284142,0.5,4701.14599609,2702.67773438,1,0,0,1.22
PHerc0125,13227,11,20285142,0.5,4796.31835938,2719.45654297,1,0,0,1.22
PHerc0125,13227,12,20286142,0.5,4866.43554688,2629.80981445,1,0,0,1.22
PHerc0125,13227,13,20287142,0.5,4718.61181641,2768.20019531,1,0,0,1.22
PHerc0125,13227,14,20288142,0.5,4746.70166016,2731.8515625,1,0,0,1.22
PHerc0125,13227,15,20289142,0.5,4785.79638672,2646.77099609,1,0,0,1.22
PHerc0125,13227,16,20290142,0.5,4875.39208984,2818.66503906,1,0,0,1.22
PHerc0125,13227,17,20291142,0.5,4850.56103516,2626.06445312,1,0,0,1.22
PHerc0125,13227,18,20292142,0.5,4287.7578125,4111.50341797,1,0,0,1.22
PHerc0125,13227,19,20293142,0.5,4714.28857422,2716.80664062,1,0,0,1.22
PHerc0125,14019,0,20274934,0.5,5080.38134766,3035.32519531,1,0,0,1.22
PHerc0125,14019,1,20275934,0.5,4452.94970703,4311.16064453,1,0,0,1.22
PHerc0125,14019,2,20276934,0.5,4398.08056641,4162.55175781,1,0,0,1.22
PHerc0125,14019,3,20277934,0.5,4949.36181641,2902.25537109,1,0,0,1.22
PHerc0125,14019,4,20278934,0.5,4961.68798828,2957.07495117,1,0,0,1.22
PHerc0125,14019,5,20279934,0.5,5006.75927734,3001.52880859,1,0,0,1.22
PHerc0125,14019,6,20280934,0.5,5066.93652344,3036.85327148,1,0,0,1.22
PHerc0125,14019,7,20281934,0.5,5099.04003906,3025.62255859,1,0,0,1.22
PHerc0125,14019,8,20282934,0.5,4395.61132812,4147.91992188,1,0,0,1.22
PHerc0125,14019,9,20283934,0.5,4220.95605469,4153.34960938,1,0,0,1.22
PHerc0125,14019,10,20284934,0.5,4342.30712891,4205.10546875,1,0,0,1.22
PHerc0125,14019,11,20285934,0.5,4223.5078125,4136.03173828,1,0,0,1.22
PHerc0125,14019,12,20286934,0.5,5057.85839844,2982.47827148,1,0,0,1.22
PHerc0125,14019,13,20287934,0.5,5098.58837891,3071.49658203,1,0,0,1.22
PHerc0125,14019,14,20288934,0.5,5107.53369141,3058.30029297,1,0,0,1.22
PHerc0125,14019,15,20289934,0.5,4374.13720703,4146.671875,1,0,0,1.22
PHerc0125,14019,16,20290934,0.5,4436.74462891,4295.27587891,1,0,0,1.22
