scroll,z,variant,x,y,width,height,inside,capped
PHerc0175A,5210,as-is,4199.24,5756.7,9363.0,9363.0,1,0
PHerc0175A,5210,no-division,4155.24,5560.7,9363.0,9363.0,1,0
PHerc0175A,5675,as-is,4181.89,5581.7,9363.0,9363.0,1,0
PHerc0175A,5675,no-division,4141.89,5580.7,9363.0,9363.0,1,0
PHerc0175A,6141,as-is,4167.53,5591.08,9363.0,9363.0,1,0
PHerc0175A,6141,no-division,4156.53,5586.08,9363.0,9363.0,1,0
PHerc0175A,6606,as-is,4288.12,5478.25,9363.0,9363.0,1,0
PHerc0175A,6606,no-division,4212.12,5412.25,9363.0,9363.0,1,0
PHerc0175A,7072,as-is,4698.76,5437.95,9363.0,9363.0,1,0
PHerc0175A,7072,no-division,4303.76,5454.95,9363.0,9363.0,1,0
PHerc0175A,7537,as-is,5000.96,5440.44,9363.0,9363.0,1,0
PHerc0175A,7537,no-division,4820.96,5389.44,9363.0,9363.0,1,0
PHerc0175A,8003,as-is,4842.33,5314.2,9363.0,9363.0,1,0
PHerc0175A,8003,no-division,4674.33,5318.2,9363.0,9363.0,1,0
PHerc0175A,8469,as-is,4788.67,5309.2,9363.0,9363.0,1,0
PHerc0175A,8469,no-division,4779.67,5289.2,9363.0,9363.0,1,0
PHerc0175A,8934,as-is,4711.27,5340.01,9363.0,9363.0,1,0
PHerc0175A,8934,no-division,4677.27,5341.01,9363.0,9363.0,1,0
PHerc0175A,9400,as-is,4798.42,5236.54,9363.0,9363.0,1,0
PHerc0175A,9400,no-division,4798.42,5254.54,9363.0,9363.0,1,0
PHerc0175A,9865,as-is,4973.87,5224.42,9363.0,9363.0,1,0
PHerc0175A,9865,no-division,4964.87,5247.42,9363.0,9363.0,1,0
PHerc0175A,10331,as-is,5224.98,4982.09,9363.0,9363.0,1,0
PHerc0175A,10331,no-division,5263.98,5082.09,9363.0,9363.0,1,0
PHerc0175A,10797,as-is,5278.55,5050.44,9363.0,9363.0,1,0
PHerc0175A,10797,no-division,5151.55,4962.44,9363.0,9363.0,1,0
PHerc0175A,11262,as-is,4647.33,4988.27,9363.0,9363.0,1,0
PHerc0175A,11262,no-division,4157.33,5218.27,9363.0,9363.0,1,0
PHerc0175A,11728,as-is,3615.35,5063.86,9363.0,9363.0,1,0
PHerc0175A,11728,no-division,2527.35,5466.86,9363.0,9363.0,1,0
PHerc0175B,1271,as-is,5092.48,4978.14,9613.0,9613.0,1,0
PHerc0175B,1271,no-division,5102.48,5624.14,9613.0,9613.0,1,0
PHerc0175B,1852,as-is,5096.47,5098.23,9613.0,9613.0,1,0
PHerc0175B,1852,no-division,5398.47,5348.23,9613.0,9613.0,1,0
PHerc0175B,2432,as-is,4818.61,5573.76,9613.0,9613.0,1,0
PHerc0175B,2432,no-division,4794.61,5581.76,9613.0,9613.0,1,0
PHerc0175B,3013,as-is,4435.06,5678.4,9613.0,9613.0,1,0
PHerc0175B,3013,no-division,4247.06,5814.4,9613.0,9613.0,1,0
PHerc0175B,3594,as-is,3978.22,5794.99,9613.0,9613.0,1,0
PHerc0175B,3594,no-division,3959.22,5826.99,9613.0,9613.0,1,0
PHerc0175B,4174,as-is,4631.17,4858.7,9613.0,9613.0,1,0
PHerc0175B,4174,no-division,4108.17,5421.7,9613.0,9613.0,1,0
PHerc0175B,4755,as-is,5036.23,4674.69,9613.0,9613.0,1,0
PHerc0175B,4755,no-division,5300.23,4939.69,9613.0,9613.0,1,0
PHerc0175B,5335,as-is,4909.59,4748.49,9613.0,9613.0,1,0
PHerc0175B,5335,no-division,4857.59,4604.49,9613.0,9613.0,1,0
PHerc0175B,5916,as-is,4829.47,4930.42,9613.0,9613.0,1,0
PHerc0175B,5916,no-division,4832.47,4756.42,9613.0,9613.0,1,0
PHerc0175B,6497,as-is,5197.39,3973.38,9613.0,9613.0,1,0
PHerc0175B,6497,no-division,5244.39,3971.38,9613.0,9613.0,1,0
PHerc0175B,7077,as-is,4929.06,4797.12,9613.0,9613.0,1,0
PHerc0175B,7077,no-division,4694.06,3452.12,9613.0,9613.0,1,0
PHerc0175B,7658,as-is,4918.46,4058.28,9613.0,9613.0,1,0
PHerc0175B,7658,no-division,4922.46,4027.28,9613.0,9613.0,1,0
PHerc0175B,8238,as-is,5630.41,4312.03,9613.0,9613.0,1,0
PHerc0175B,8238,no-division,4965.41,4481.03,9613.0,9613.0,1,0
PHerc0175B,8819,as-is,4651.56,4915.83,9613.0,9613.0,1,0
PHerc0175B,8819,no-division,5215.56,4294.83,9613.0,9613.0,1,0
PHerc0175B,9399,as-is,5713.44,5308.0,9613.0,9613.0,1,0
PHerc0175B,9399,no-division,5833.44,4534.0,9613.0,9613.0,1,0
PHerc0175B,9980,as-is,5278.32,5250.75,9613.0,9613.0,1,0
PHerc0175B,9980,no-division,5479.32,5624.75,9613.0,9613.0,1,0
PHerc0175B,10561,as-is,5322.31,5876.29,9613.0,9613.0,1,0
PHerc0175B,10561,no-division,5357.31,5917.29,9613.0,9613.0,1,0
PHerc0175B,11141,as-is,5186.07,5357.47,9613.0,9613.0,1,0
PHerc0175B,11141,no-division,5405.07,5734.47,9613.0,9613.0,1,0
PHerc0175B,11722,as-is,4813.92,5585.55,9613.0,9613.0,1,0
PHerc0175B,11722,no-division,4941.92,5637.55,9613.0,9613.0,1,0
PHerc0175B,12302,as-is,4758.7,5380.42,9613.0,9613.0,1,0
PHerc0175B,12302,no-division,4696.7,5384.42,9613.0,9613.0,1,0
PHerc0175B,12883,as-is,4119.08,5830.26,9613.0,9613.0,1,0
PHerc0175B,12883,no-division,4116.08,5825.26,9613.0,9613.0,1,0
PHerc0175B,13464,as-is,13244.07,-6573.57,9613.0,9613.0,0,0
PHerc0175B,13464,no-division,4190.07,4135.43,9613.0,9613.0,1,0
PHerc0175B,14044,as-is,5802.77,4147.78,9613.0,9613.0,1,0
PHerc0175B,14044,no-division,2276.77,3882.78,9613.0,9613.0,1,0
PHerc0175B,14625,as-is,9773.15,14196.52,9613.0,9613.0,0,0
PHerc0175B,14625,no-division,7791.15,5507.52,9613.0,9613.0,1,0
PHerc0191,1518,as-is,5703.71,5583.36,8387.0,8387.0,1,0
PHerc0191,1518,no-division,5794.71,4334.36,8387.0,8387.0,1,0
PHerc0191,2211,as-is,4202.97,5457.94,8387.0,8387.0,1,0
PHerc0191,2211,no-division,4680.97,5421.94,8387.0,8387.0,1,0
PHerc0191,2904,as-is,3892.71,5487.66,8387.0,8387.0,1,0
PHerc0191,2904,no-division,4213.71,5528.66,8387.0,8387.0,1,0
PHerc0191,3597,as-is,4229.49,5309.81,8387.0,8387.0,1,0
PHerc0191,3597,no-division,4350.49,5221.81,8387.0,8387.0,1,0
PHerc0191,4290,as-is,4418.42,4927.92,8387.0,8387.0,1,0
PHerc0191,4290,no-division,4744.42,5030.92,8387.0,8387.0,1,0
PHerc0191,4983,as-is,4190.62,6527.47,8387.0,8387.0,1,0
PHerc0191,4983,no-division,4361.62,4671.47,8387.0,8387.0,1,0
PHerc0191,5676,as-is,4595.49,5852.76,8387.0,8387.0,1,0
PHerc0191,5676,no-division,4550.49,4394.76,8387.0,8387.0,1,0
PHerc0191,6369,as-is,4813.8,4444.52,8387.0,8387.0,1,0
PHerc0191,6369,no-division,4948.8,4059.52,8387.0,8387.0,1,0
PHerc0191,7062,as-is,4713.82,4083.21,8387.0,8387.0,1,0
PHerc0191,7062,no-division,5121.82,4357.21,8387.0,8387.0,1,0
PHerc0191,7755,as-is,4291.25,4216.38,8387.0,8387.0,1,0
PHerc0191,7755,no-division,5055.25,4244.38,8387.0,8387.0,1,0
PHerc0191,8448,as-is,4436.4,4329.47,8387.0,8387.0,1,0
PHerc0191,8448,no-division,4967.4,3772.47,8387.0,8387.0,1,0
PHerc0191,9141,as-is,4531.1,3724.09,8387.0,8387.0,1,0
PHerc0191,9141,no-division,4312.1,3625.09,8387.0,8387.0,1,0
PHerc0191,9835,as-is,3704.3,3948.9,8387.0,8387.0,1,0
PHerc0191,9835,no-division,4361.3,3111.9,8387.0,8387.0,1,0
PHerc0191,10528,as-is,3587.55,4272.41,8387.0,8387.0,1,0
PHerc0191,10528,no-division,3599.55,4266.41,8387.0,8387.0,1,0
PHerc0191,11221,as-is,4015.99,4692.56,8387.0,8387.0,1,0
PHerc0191,11221,no-division,3770.99,4609.56,8387.0,8387.0,1,0
PHerc0191,11914,as-is,4338.73,4403.5,8387.0,8387.0,1,0
PHerc0191,11914,no-division,4321.73,4441.5,8387.0,8387.0,1,0
PHerc0191,12607,as-is,3907.03,4900.44,8387.0,8387.0,1,0
PHerc0191,12607,no-division,4345.03,4737.44,8387.0,8387.0,1,0
PHerc0191,13300,as-is,3697.4,4778.74,8387.0,8387.0,1,0
PHerc0191,13300,no-division,4296.4,4790.74,8387.0,8387.0,1,0
PHerc0191,13993,as-is,4050.06,5255.71,8387.0,8387.0,1,0
PHerc0191,13993,no-division,4181.06,5512.71,8387.0,8387.0,1,0
PHerc0191,14686,as-is,4576.08,4452.21,8387.0,8387.0,1,0
PHerc0191,14686,no-division,4201.08,5413.21,8387.0,8387.0,1,0
PHerc0191,15379,as-is,3821.72,4679.44,8387.0,8387.0,1,0
PHerc0191,15379,no-division,4829.72,3819.44,8387.0,8387.0,1,0
PHerc0191,16072,as-is,4547.0,4178.81,8387.0,8387.0,1,0
PHerc0191,16072,no-division,4953.0,4100.81,8387.0,8387.0,1,0
PHerc0191,16765,as-is,3967.27,4330.67,8387.0,8387.0,1,0
PHerc0191,16765,no-division,4426.27,4014.67,8387.0,8387.0,1,0
PHerc0191,17458,as-is,3779.77,4300.61,8387.0,8387.0,1,0
PHerc0191,17458,no-division,4034.77,3895.61,8387.0,8387.0,1,0
PHerc0211,1553,as-is,4474.61,5445.74,7948.0,7948.0,1,0
PHerc0211,1553,no-division,3995.61,3821.74,7948.0,7948.0,1,0
PHerc0211,2262,as-is,2703.16,-3920.42,7948.0,7948.0,0,0
PHerc0211,2262,no-division,4591.16,5334.58,7948.0,7948.0,1,0
PHerc0211,2971,as-is,-31596.93,-229174.91,7948.0,7948.0,0,1
PHerc0211,2971,no-division,4327.07,4923.09,7948.0,7948.0,1,0
PHerc0211,3680,as-is,1838.88,-26652.89,7948.0,7948.0,0,0
PHerc0211,3680,no-division,4044.88,4423.11,7948.0,7948.0,1,0
PHerc0211,4389,as-is,4253.4,12397.21,7948.0,7948.0,0,0
PHerc0211,4389,no-division,3516.4,4140.21,7948.0,7948.0,1,0
PHerc0211,5098,as-is,3442.29,11144.35,7948.0,7948.0,0,0
PHerc0211,5098,no-division,3379.29,3879.35,7948.0,7948.0,1,0
PHerc0211,5807,as-is,3137.63,7665.14,7948.0,7948.0,1,0
PHerc0211,5807,no-division,3411.63,3912.14,7948.0,7948.0,1,0
PHerc0211,6517,as-is,2974.58,7728.05,7948.0,7948.0,1,0
PHerc0211,6517,no-division,3470.58,3898.05,7948.0,7948.0,1,0
PHerc0211,7226,as-is,2855.07,8348.1,7948.0,7948.0,0,0
PHerc0211,7226,no-division,3377.07,3809.1,7948.0,7948.0,1,0
PHerc0211,7935,as-is,2696.13,8898.62,7948.0,7948.0,0,0
PHerc0211,7935,no-division,3491.13,3727.62,7948.0,7948.0,1,0
PHerc0211,8644,as-is,1153.06,13546.67,7948.0,7948.0,0,0
PHerc0211,8644,no-division,3427.06,3702.67,7948.0,7948.0,1,0
PHerc0211,9353,as-is,114.38,16204.82,7948.0,7948.0,0,0
PHerc0211,9353,no-division,3427.38,3566.82,7948.0,7948.0,1,0
PHerc0211,10062,as-is,-3360.19,28426.1,7948.0,7948.0,0,0
PHerc0211,10062,no-division,3439.81,3436.1,7948.0,7948.0,1,0
PHerc0211,10771,as-is,1455.42,13731.12,7948.0,7948.0,0,0
PHerc0211,10771,no-division,3498.42,3008.12,7948.0,7948.0,1,0
PHerc0211,11480,as-is,2894.16,9998.51,7948.0,7948.0,0,0
PHerc0211,11480,no-division,3433.16,2776.51,7948.0,7948.0,1,0
PHerc0211,12189,as-is,3670.3,14087.7,7948.0,7948.0,0,0
PHerc0211,12189,no-division,2993.3,2741.7,7948.0,7948.0,1,0
PHerc0211,12898,as-is,3904.22,2899.29,7948.0,7948.0,1,0
PHerc0211,12898,no-division,3878.22,2884.29,7948.0,7948.0,1,0
PHerc0211,13608,as-is,3848.76,12709.67,7948.0,7948.0,0,0
PHerc0211,13608,no-division,4095.76,3103.67,7948.0,7948.0,1,0
PHerc0211,14317,as-is,2594.98,10381.15,7948.0,7948.0,0,0
PHerc0211,14317,no-division,4630.98,3504.15,7948.0,7948.0,1,0
PHerc0211,15026,as-is,4057.04,3677.86,7948.0,7948.0,1,0
PHerc0211,15026,no-division,4280.04,3499.86,7948.0,7948.0,1,0
PHerc0211,15735,as-is,3594.71,3438.52,7948.0,7948.0,1,0
PHerc0211,15735,no-division,3594.71,3439.52,7948.0,7948.0,1,0
PHerc0211,16444,as-is,4602.09,3740.05,7948.0,7948.0,1,0
PHerc0211,16444,no-division,2834.09,4212.05,7948.0,7948.0,1,0
PHerc0211,17153,as-is,3979.37,4259.47,7948.0,7948.0,1,0
PHerc0211,17153,no-division,2788.37,4682.47,7948.0,7948.0,1,0
PHerc0211,17862,as-is,3269.1,5350.38,7948.0,7948.0,1,0
PHerc0211,17862,no-division,3156.1,4948.38,7948.0,7948.0,1,0
PHerc0257,1509,as-is,-1367.06,12627.73,8388.0,8388.0,0,0
PHerc0257,1509,no-division,5840.94,5332.73,8388.0,8388.0,1,0
PHerc0257,2198,as-is,-2120.86,-3750.76,8388.0,8388.0,0,0
PHerc0257,2198,no-division,4417.14,4305.24,8388.0,8388.0,1,0
PHerc0257,2888,as-is,4616.34,5453.86,8388.0,8388.0,1,0
PHerc0257,2888,no-division,4581.34,5458.86,8388.0,8388.0,1,0
PHerc0257,3577,as-is,4437.76,5501.02,8388.0,8388.0,1,0
PHerc0257,3577,no-division,4435.76,5494.02,8388.0,8388.0,1,0
PHerc0257,4266,as-is,4558.79,5431.64,8388.0,8388.0,1,0
PHerc0257,4266,no-division,4733.79,5221.64,8388.0,8388.0,1,0
PHerc0257,4955,as-is,4952.78,4770.37,8388.0,8388.0,1,0
PHerc0257,4955,no-division,4921.78,4745.37,8388.0,8388.0,1,0
PHerc0257,5645,as-is,4241.27,4704.99,8388.0,8388.0,1,0
PHerc0257,5645,no-division,4731.27,4851.99,8388.0,8388.0,1,0
PHerc0257,6334,as-is,4576.13,4713.92,8388.0,8388.0,1,0
PHerc0257,6334,no-division,3837.13,5311.92,8388.0,8388.0,1,0
PHerc0257,7023,as-is,4140.47,4515.96,8388.0,8388.0,1,0
PHerc0257,7023,no-division,4141.47,4502.96,8388.0,8388.0,1,0
PHerc0257,7712,as-is,1068.69,5590.87,8388.0,8388.0,1,0
PHerc0257,7712,no-division,3933.69,3855.87,8388.0,8388.0,1,0
PHerc0257,8402,as-is,-251.26,5230.74,8388.0,8388.0,0,0
PHerc0257,8402,no-division,4045.74,3524.74,8388.0,8388.0,1,0
PHerc0257,9091,as-is,998.64,4498.12,8388.0,8388.0,1,0
PHerc0257,9091,no-division,4195.64,3492.12,8388.0,8388.0,1,0
PHerc0257,9780,as-is,1023.57,4936.91,8388.0,8388.0,1,0
PHerc0257,9780,no-division,3896.57,3086.91,8388.0,8388.0,1,0
PHerc0257,10469,as-is,923.28,5297.39,8388.0,8388.0,1,0
PHerc0257,10469,no-division,4084.28,3507.39,8388.0,8388.0,1,0
PHerc0257,11159,as-is,405.2,5660.63,8388.0,8388.0,1,0
PHerc0257,11159,no-division,3876.2,3643.63,8388.0,8388.0,1,0
PHerc0257,11848,as-is,1498.57,5485.61,8388.0,8388.0,1,0
PHerc0257,11848,no-division,3911.57,3413.61,8388.0,8388.0,1,0
PHerc0257,12537,as-is,1227.36,5654.43,8388.0,8388.0,1,0
PHerc0257,12537,no-division,4091.36,3797.43,8388.0,8388.0,1,0
PHerc0257,13226,as-is,1147.97,5936.72,8388.0,8388.0,1,0
PHerc0257,13226,no-division,3999.97,3818.72,8388.0,8388.0,1,0
PHerc0257,13916,as-is,-597.77,6877.29,8388.0,8388.0,0,0
PHerc0257,13916,no-division,3827.23,3761.29,8388.0,8388.0,1,0
PHerc0257,14605,as-is,-925.71,7554.93,8388.0,8388.0,0,0
PHerc0257,14605,no-division,3976.29,4150.93,8388.0,8388.0,1,0
PHerc0257,15294,as-is,2582.62,6542.53,8388.0,8388.0,1,0
PHerc0257,15294,no-division,4198.62,4266.53,8388.0,8388.0,1,0
PHerc0257,15983,as-is,4280.09,4305.37,8388.0,8388.0,1,0
PHerc0257,15983,no-division,4326.09,4253.37,8388.0,8388.0,1,0
PHerc0257,16673,as-is,-2403.14,15724.57,8388.0,8388.0,0,0
PHerc0257,16673,no-division,4428.86,4139.57,8388.0,8388.0,1,0
PHerc0257,17362,as-is,4200.17,4546.84,8388.0,8388.0,1,0
PHerc0257,17362,no-division,3814.17,3984.84,8388.0,8388.0,1,0
PHerc0268,1186,as-is,37495.74,56448.12,12145.0,12145.0,0,0
PHerc0268,1186,no-division,6727.74,4782.12,12145.0,12145.0,1,0
PHerc0268,1728,as-is,7355.99,13034.12,12145.0,12145.0,0,0
PHerc0268,1728,no-division,5444.99,3742.12,12145.0,12145.0,1,0
PHerc0268,2270,as-is,7010.0,9041.28,12145.0,12145.0,1,0
PHerc0268,2270,no-division,7744.0,4403.28,12145.0,12145.0,1,0
PHerc0268,2811,as-is,6594.57,9614.33,12145.0,12145.0,1,0
PHerc0268,2811,no-division,8099.57,5576.33,12145.0,12145.0,1,0
PHerc0268,3353,as-is,5606.93,41417.99,12145.0,12145.0,0,0
PHerc0268,3353,no-division,5797.93,6013.99,12145.0,12145.0,1,0
PHerc0268,3895,as-is,5599.83,5307.03,12145.0,12145.0,1,0
PHerc0268,3895,no-division,4916.83,6619.03,12145.0,12145.0,1,0
PHerc0268,4437,as-is,6065.3,5649.14,12145.0,12145.0,1,0
PHerc0268,4437,no-division,5154.3,6684.14,12145.0,12145.0,1,0
PHerc0268,4978,as-is,5746.97,6051.8,12145.0,12145.0,1,0
PHerc0268,4978,no-division,5656.97,5458.8,12145.0,12145.0,1,0
PHerc0268,5520,as-is,6112.66,5769.47,12145.0,12145.0,1,0
PHerc0268,5520,no-division,5917.66,4789.47,12145.0,12145.0,1,0
PHerc0268,6062,as-is,5017.31,6054.19,12145.0,12145.0,1,0
PHerc0268,6062,no-division,6091.31,4392.19,12145.0,12145.0,1,0
PHerc0268,6603,as-is,6047.85,4580.85,12145.0,12145.0,1,0
PHerc0268,6603,no-division,6387.85,4196.85,12145.0,12145.0,1,0
PHerc0268,7145,as-is,5365.26,4939.0,12145.0,12145.0,1,0
PHerc0268,7145,no-division,6396.26,4158.0,12145.0,12145.0,1,0
PHerc0268,7687,as-is,5843.64,5524.68,12145.0,12145.0,1,0
PHerc0268,7687,no-division,5616.64,4764.68,12145.0,12145.0,1,0
PHerc0268,8229,as-is,6647.54,5761.71,12145.0,12145.0,1,0
PHerc0268,8229,no-division,6074.54,5150.71,12145.0,12145.0,1,0
PHerc0268,8770,as-is,6209.05,5645.98,12145.0,12145.0,1,0
PHerc0268,8770,no-division,5856.05,7135.98,12145.0,12145.0,1,0
PHerc0268,9312,as-is,5925.93,6112.88,12145.0,12145.0,1,0
PHerc0268,9312,no-division,6149.93,6881.88,12145.0,12145.0,1,0
PHerc0268,9854,as-is,6349.86,6438.65,12145.0,12145.0,1,0
PHerc0268,9854,no-division,6326.86,7925.65,12145.0,12145.0,1,0
PHerc0268,10395,as-is,5847.47,6956.97,12145.0,12145.0,1,0
PHerc0268,10395,no-division,6295.47,8191.97,12145.0,12145.0,1,0
PHerc0268,10937,as-is,6279.94,7432.73,12145.0,12145.0,1,0
PHerc0268,10937,no-division,6513.94,7964.73,12145.0,12145.0,1,0
PHerc0268,11479,as-is,5741.24,6701.99,12145.0,12145.0,1,0
PHerc0268,11479,no-division,6361.24,7598.99,12145.0,12145.0,1,0
PHerc0268,12021,as-is,3861.7,1038.08,12145.0,12145.0,1,0
PHerc0268,12021,no-division,6593.7,3871.08,12145.0,12145.0,1,0
PHerc0268,12562,as-is,6362.58,5989.46,12145.0,12145.0,1,0
PHerc0268,12562,no-division,6206.58,6854.46,12145.0,12145.0,1,0
PHerc0268,13104,as-is,5887.21,5234.98,12145.0,12145.0,1,0
PHerc0268,13104,no-division,4638.21,8334.98,12145.0,12145.0,1,0
PHerc0268,13646,as-is,5587.11,4925.21,12145.0,12145.0,1,0
PHerc0268,13646,no-division,6339.11,9780.21,12145.0,12145.0,1,0
PHerc0306B,1271,as-is,4366.91,-119.82,8849.0,8849.0,0,0
PHerc0306B,1271,no-division,4569.91,5558.18,8849.0,8849.0,1,0
PHerc0306B,1852,as-is,4485.25,1508.08,8849.0,8849.0,1,0
PHerc0306B,1852,no-division,4399.25,5199.08,8849.0,8849.0,1,0
PHerc0306B,2433,as-is,4604.88,-1398.82,8849.0,8849.0,0,0
PHerc0306B,2433,no-division,4366.88,4876.18,8849.0,8849.0,1,0
PHerc0306B,3013,as-is,4008.0,4351.82,8849.0,8849.0,1,0
PHerc0306B,3013,no-division,4222.0,4621.82,8849.0,8849.0,1,0
PHerc0306B,3594,as-is,4342.96,4737.27,8849.0,8849.0,1,0
PHerc0306B,3594,no-division,4477.96,4849.27,8849.0,8849.0,1,0
PHerc0306B,4174,as-is,4337.56,4430.34,8849.0,8849.0,1,0
PHerc0306B,4174,no-division,4328.56,5313.34,8849.0,8849.0,1,0
PHerc0306B,4755,as-is,4625.41,5180.47,8849.0,8849.0,1,0
PHerc0306B,4755,no-division,4281.41,5477.47,8849.0,8849.0,1,0
PHerc0306B,5336,as-is,5177.77,4720.75,8849.0,8849.0,1,0
PHerc0306B,5336,no-division,4454.77,5158.75,8849.0,8849.0,1,0
PHerc0306B,5916,as-is,5285.19,3899.62,8849.0,8849.0,1,0
PHerc0306B,5916,no-division,4465.19,5259.62,8849.0,8849.0,1,0
PHerc0306B,6497,as-is,7389.1,-2675.86,8849.0,8849.0,0,0
PHerc0306B,6497,no-division,4492.1,4602.14,8849.0,8849.0,1,0
PHerc0306B,7078,as-is,8202.28,-9658.89,8849.0,8849.0,0,0
PHerc0306B,7078,no-division,4502.28,4970.11,8849.0,8849.0,1,0
PHerc0306B,7658,as-is,6469.75,-1280.83,8849.0,8849.0,0,0
PHerc0306B,7658,no-division,4496.75,4787.17,8849.0,8849.0,1,0
PHerc0306B,8239,as-is,6057.94,61.94,8849.0,8849.0,1,0
PHerc0306B,8239,no-division,4523.94,4547.94,8849.0,8849.0,1,0
PHerc0306B,8819,as-is,4930.17,4543.29,8849.0,8849.0,1,0
